window,deviation_pct,stop_loss_pct,take_profit_fib,use_take_profit,num_trades,num_symbols,win_rate,total_return_pct,avg_return_pct,max_drawdown_pct,robustness_score,max_drawdown_chronologisch_pct,robustness_score_chronologisch,share_take_profit_pct,share_stop_loss_pct,besteht_mindestfilter,pf_num_executed,pf_num_skipped,pf_total_return_pct,pf_max_drawdown_pct,pf_calmar_ratio
gesamt,3.0,2.0,0.236,True,1147,145,38.4,326.81,0.28,-61.69,0.156,-139.07,0.069,38.4,61.6,False,993,154,25.76,-9.88,2.61
gesamt,3.0,2.0,0.236,False,1147,145,14.5,2801.39,2.44,-106.34,0.778,-301.32,0.275,0.0,85.5,True,717,430,365.88,-15.51,23.59
gesamt,3.0,2.0,0.382,True,1147,145,29.8,594.59,0.52,-46.73,0.376,-135.02,0.13,29.7,70.2,False,963,184,50.26,-10.41,4.83
gesamt,3.0,2.0,0.5,True,1147,145,25.5,798.81,0.7,-56.76,0.416,-178.43,0.132,25.3,74.5,False,944,203,78.34,-10.27,7.63
gesamt,3.0,2.0,0.618,True,1147,145,23.0,1006.83,0.88,-62.64,0.475,-167.3,0.178,22.3,77.0,False,924,223,97.25,-10.51,9.25
gesamt,3.0,2.0,1.0,True,1147,145,17.3,1384.33,1.21,-86.21,0.474,-206.33,0.198,15.2,82.7,False,859,288,141.24,-13.51,10.45
gesamt,3.0,3.0,0.236,True,1147,145,45.9,315.9,0.28,-60.4,0.154,-192.05,0.049,45.9,54.1,False,971,176,15.35,-13.59,1.13
gesamt,3.0,3.0,0.236,False,1147,145,19.4,3439.88,3.0,-105.79,0.96,-403.31,0.252,0.0,80.5,True,617,530,395.8,-21.6,18.32
gesamt,3.0,3.0,0.382,True,1147,145,36.5,664.93,0.58,-59.61,0.329,-168.7,0.116,36.4,63.5,False,921,226,42.21,-12.57,3.36
gesamt,3.0,3.0,0.5,True,1147,145,31.6,925.1,0.81,-57.49,0.475,-245.7,0.111,31.3,68.4,False,889,258,73.49,-12.93,5.68
gesamt,3.0,3.0,0.618,True,1147,145,28.7,1161.59,1.01,-74.56,0.46,-236.72,0.145,27.6,71.3,False,848,299,83.42,-14.1,5.92
gesamt,3.0,3.0,1.0,True,1147,145,22.2,1622.02,1.41,-79.2,0.605,-316.77,0.151,19.1,77.7,False,769,378,124.47,-16.84,7.39
gesamt,3.0,5.0,0.236,True,1147,145,58.8,576.47,0.5,-75.09,0.227,-221.29,0.077,58.8,40.9,False,921,226,31.45,-16.96,1.85
gesamt,3.0,5.0,0.236,False,1147,145,28.3,4478.38,3.9,-156.34,0.846,-681.09,0.194,0.0,71.0,True,470,677,325.89,-21.89,14.89
gesamt,3.0,5.0,0.382,True,1147,145,47.9,924.83,0.81,-90.35,0.302,-252.9,0.108,47.8,51.8,False,835,312,69.97,-15.68,4.46
gesamt,3.0,5.0,0.5,True,1147,145,42.9,1371.6,1.2,-83.78,0.483,-319.65,0.127,42.3,56.7,False,780,367,114.69,-17.78,6.45
gesamt,3.0,5.0,0.618,True,1147,145,39.4,1636.24,1.43,-79.65,0.607,-380.33,0.127,37.8,60.2,False,724,423,140.63,-18.56,7.58
gesamt,3.0,5.0,1.0,True,1147,145,31.7,2260.05,1.97,-104.77,0.637,-518.47,0.129,26.3,67.6,False,633,514,121.75,-22.5,5.41
gesamt,3.0,8.0,0.236,True,1147,145,69.6,803.11,0.7,-119.11,0.199,-342.14,0.069,69.6,30.0,False,840,307,35.33,-22.7,1.56
gesamt,3.0,8.0,0.236,False,1147,145,39.4,6119.67,5.34,-158.81,1.138,-902.33,0.2,0.0,58.2,True,375,772,299.71,-23.69,12.65
gesamt,3.0,8.0,0.382,True,1147,145,59.5,1293.12,1.13,-112.9,0.338,-337.96,0.113,59.0,39.7,False,729,418,69.91,-21.77,3.21
gesamt,3.0,8.0,0.5,True,1147,145,54.4,1833.59,1.6,-122.53,0.442,-428.68,0.126,52.9,44.6,False,658,489,110.0,-23.44,4.69
gesamt,3.0,8.0,0.618,True,1147,145,51.0,2251.64,1.96,-109.74,0.606,-499.83,0.133,48.0,47.7,False,610,537,144.32,-24.6,5.87
gesamt,3.0,8.0,1.0,True,1147,145,43.2,3191.43,2.78,-137.76,0.684,-711.88,0.132,34.4,54.8,True,509,638,187.28,-25.21,7.43
gesamt,3.0,12.0,0.236,True,1147,145,76.5,913.45,0.8,-84.81,0.318,-485.59,0.056,76.5,22.5,False,753,394,26.48,-29.42,0.9
gesamt,3.0,12.0,0.236,False,1147,145,48.1,6920.59,6.03,-160.37,1.274,-1113.7,0.183,0.0,44.7,True,311,836,428.46,-25.35,16.9
gesamt,3.0,12.0,0.382,True,1147,145,68.3,1710.24,1.49,-115.25,0.438,-473.64,0.107,67.6,29.5,False,622,525,45.13,-26.3,1.72
gesamt,3.0,12.0,0.5,True,1147,145,63.2,2342.27,2.04,-120.48,0.574,-463.98,0.149,61.3,33.7,True,561,586,85.86,-31.38,2.74
gesamt,3.0,12.0,0.618,True,1147,145,59.7,2731.05,2.38,-126.27,0.639,-537.53,0.15,55.1,36.7,True,509,638,90.17,-30.23,2.98
gesamt,3.0,12.0,1.0,True,1147,145,52.3,3749.56,3.27,-225.44,0.491,-875.62,0.126,39.1,42.6,True,424,723,107.93,-33.39,3.23
gesamt,3.0,16.0,0.236,True,1147,145,81.2,1299.38,1.13,-143.18,0.268,-605.65,0.063,81.2,16.7,False,668,479,44.95,-27.01,1.66
gesamt,3.0,16.0,0.236,False,1147,145,55.2,8169.7,7.12,-155.01,1.556,-1214.38,0.199,0.0,33.0,True,260,887,286.97,-25.45,11.28
gesamt,3.0,16.0,0.382,True,1147,145,74.5,2523.61,2.2,-176.01,0.423,-586.49,0.127,73.6,21.4,True,534,613,75.53,-26.44,2.86
gesamt,3.0,16.0,0.5,True,1147,145,70.4,3445.02,3.0,-167.1,0.609,-571.01,0.178,67.7,24.1,True,479,668,112.86,-29.6,3.81
gesamt,3.0,16.0,0.618,True,1147,145,66.9,3931.46,3.43,-147.78,0.786,-591.03,0.196,60.9,26.2,True,436,711,180.8,-30.63,5.9
gesamt,3.0,16.0,1.0,True,1147,145,59.5,5022.32,4.38,-150.91,0.983,-992.71,0.149,42.6,31.0,True,347,800,185.24,-31.13,5.95
gesamt,4.0,2.0,0.236,True,738,143,32.4,246.8,0.33,-62.81,0.145,-141.57,0.064,32.4,67.6,False,663,75,17.0,-11.41,1.49
gesamt,4.0,2.0,0.236,False,738,143,14.9,2101.89,2.85,-71.3,1.085,-215.64,0.359,0.0,85.1,True,562,176,289.34,-16.82,17.2
gesamt,4.0,2.0,0.382,True,738,143,24.9,478.26,0.65,-59.43,0.296,-145.66,0.121,24.8,75.1,False,650,88,33.42,-12.23,2.73
gesamt,4.0,2.0,0.5,True,738,143,22.1,752.28,1.02,-56.58,0.489,-130.73,0.212,21.8,77.9,False,644,94,63.46,-11.31,5.61
gesamt,4.0,2.0,0.618,True,738,143,19.5,873.11,1.18,-62.74,0.512,-157.73,0.204,18.4,80.5,False,628,110,69.64,-13.13,5.3
gesamt,4.0,2.0,1.0,True,738,143,16.3,1289.13,1.75,-69.04,0.687,-192.52,0.246,12.1,83.7,False,606,132,138.24,-13.22,10.46
gesamt,4.0,3.0,0.236,True,738,143,40.0,300.27,0.41,-97.53,0.113,-192.7,0.057,40.0,60.0,False,650,88,18.12,-14.64,1.24
gesamt,4.0,3.0,0.236,False,738,143,20.6,2846.42,3.86,-101.08,1.037,-317.5,0.33,0.0,79.3,True,512,226,363.42,-19.36,18.77
gesamt,4.0,3.0,0.382,True,738,143,31.8,619.99,0.84,-95.43,0.239,-181.2,0.126,31.4,68.2,False,626,112,47.39,-13.12,3.61
gesamt,4.0,3.0,0.5,True,738,143,28.3,952.93,1.29,-87.94,0.399,-193.63,0.181,27.8,71.7,False,615,123,84.06,-14.23,5.91
gesamt,4.0,3.0,0.618,True,738,143,25.5,1131.37,1.53,-97.44,0.427,-234.68,0.177,23.6,74.5,False,595,143,90.49,-16.56,5.46
gesamt,4.0,3.0,1.0,True,738,143,21.7,1625.91,2.2,-104.74,0.571,-288.05,0.208,15.4,78.2,True,564,174,159.46,-16.73,9.53
gesamt,4.0,5.0,0.236,True,738,143,52.7,445.26,0.6,-123.89,0.132,-263.2,0.062,52.6,47.3,False,622,116,39.02,-18.16,2.15
gesamt,4.0,5.0,0.236,False,738,143,28.7,3330.16,4.51,-127.2,0.964,-453.13,0.271,0.0,71.1,True,418,320,319.14,-23.19,13.76
gesamt,4.0,5.0,0.382,True,738,143,42.3,709.77,0.96,-148.18,0.176,-291.18,0.09,41.6,57.7,False,581,157,58.45,-18.76,3.12
gesamt,4.0,5.0,0.5,True,738,143,38.1,1129.53,1.53,-136.29,0.305,-274.93,0.151,37.3,61.9,False,558,180,103.1,-19.88,5.19
gesamt,4.0,5.0,0.618,True,738,143,34.0,1236.42,1.68,-150.85,0.302,-334.32,0.136,31.4,66.0,False,535,203,73.77,-21.96,3.36
gesamt,4.0,5.0,1.0,True,738,143,30.1,1943.25,2.63,-127.2,0.562,-374.09,0.191,20.7,69.8,True,485,253,114.47,-22.55,5.08
gesamt,4.0,8.0,0.236,True,738,143,65.3,675.74,0.92,-110.97,0.224,-390.75,0.064,65.0,34.7,False,588,150,47.78,-24.62,1.94
gesamt,4.0,8.0,0.236,False,738,143,39.0,4259.55,5.77,-94.41,1.661,-623.3,0.252,0.0,59.8,True,347,391,276.25,-28.82,9.59
gesamt,4.0,8.0,0.382,True,738,143,54.2,960.3,1.3,-119.08,0.297,-379.01,0.093,53.1,45.3,False,533,205,92.67,-23.71,3.91
gesamt,4.0,8.0,0.5,True,738,143,49.2,1395.91,1.89,-110.15,0.466,-375.49,0.137,47.4,50.1,False,490,248,120.55,-25.95,4.65
gesamt,4.0,8.0,0.618,True,738,143,45.7,1679.38,2.28,-107.16,0.577,-413.66,0.149,41.6,53.7,True,462,276,121.13,-27.11,4.47
gesamt,4.0,8.0,1.0,True,738,143,40.7,2508.24,3.4,-120.52,0.766,-568.47,0.162,26.6,58.1,True,401,337,139.39,-28.31,4.92
gesamt,4.0,12.0,0.236,True,738,143,73.7,859.36,1.16,-156.86,0.202,-519.66,0.061,73.3,26.2,False,533,205,71.07,-28.45,2.5
gesamt,4.0,12.0,0.236,False,738,143,49.1,5097.27,6.91,-120.02,1.563,-871.53,0.215,0.0,47.3,True,281,457,408.61,-31.03,13.17
gesamt,4.0,12.0,0.382,True,738,143,64.2,1388.76,1.88,-144.09,0.355,-498.17,0.103,62.2,34.0,False,465,273,125.24,-27.28,4.59
gesamt,4.0,12.0,0.5,True,738,143,59.5,1961.65,2.66,-116.15,0.622,-481.44,0.15,56.1,38.2,True,423,315,141.06,-30.06,4.69
gesamt,4.0,12.0,0.618,True,738,143,55.8,2231.7,3.02,-110.7,0.742,-536.32,0.153,49.1,41.9,True,399,339,144.85,-31.19,4.64
gesamt,4.0,12.0,1.0,True,738,143,50.7,3178.94,4.31,-139.04,0.842,-787.34,0.149,30.8,45.9,True,342,396,151.51,-31.13,4.87
gesamt,4.0,16.0,0.236,True,738,143,79.5,1210.18,1.64,-204.8,0.218,-626.74,0.071,79.0,19.6,False,491,247,108.8,-30.33,3.59
gesamt,4.0,16.0,0.236,False,738,143,55.7,5879.53,7.97,-190.46,1.136,-991.69,0.218,0.0,35.4,True,239,499,362.57,-30.53,11.88
gesamt,4.0,16.0,0.382,True,738,143,71.4,2019.6,2.74,-242.19,0.307,-600.18,0.124,68.7,24.8,True,415,323,188.17,-30.0,6.27
gesamt,4.0,16.0,0.5,True,738,143,66.8,2684.29,3.64,-200.95,0.492,-588.54,0.168,62.2,27.9,True,357,381,182.79,-30.89,5.92
gesamt,4.0,16.0,0.618,True,738,143,63.1,3002.22,4.07,-197.51,0.56,-603.86,0.183,54.1,30.8,True,335,403,153.1,-30.75,4.98
gesamt,4.0,16.0,1.0,True,738,143,57.5,3909.72,5.3,-177.23,0.812,-870.37,0.165,32.9,33.9,True,288,450,190.35,-30.7,6.2
