trade_zeile,symbol,entry_time,exit_time,pnl_pct,allocation,capital_after
1,XRPUSDT,2021-09-22 07:00:00,2021-09-24 11:00:00,-6.3,1000.0,9937.0
0,ADAUSDT,2021-09-22 07:00:00,2021-10-02 09:00:00,3.1,1000.0,9968.0
2,NEARUSDT,2021-11-19 04:00:00,2021-11-26 08:00:00,-6.3,996.8,9905.2
3,LINKUSDT,2021-11-28 23:00:00,2021-12-03 20:00:00,-6.3,990.52,9842.8
4,XRPUSDT,2021-12-04 06:00:00,2021-12-14 06:00:00,6.9,984.28,9786.69
5,TRXUSDT,2021-12-06 13:00:00,2021-12-16 13:00:00,3.53,984.28,9821.44
6,XRPUSDT,2021-12-06 21:00:00,2021-12-13 19:00:00,-6.3,984.28,9718.78
7,AAVEUSDT,2021-12-06 22:00:00,2021-12-10 01:00:00,-6.3,984.28,9780.79
8,LINKUSDT,2022-01-24 17:00:00,2022-02-03 17:00:00,7.04,982.14,9890.58
9,BNBUSDT,2022-01-24 20:00:00,2022-02-03 20:00:00,-3.32,982.14,9857.98
10,TRXUSDT,2022-01-25 23:00:00,2022-02-04 23:00:00,14.96,982.14,10004.9
11,UNIUSDT,2022-02-24 14:00:00,2022-03-06 14:00:00,4.82,1000.49,10053.13
12,NEARUSDT,2022-02-24 16:00:00,2022-03-06 16:00:00,31.2,1000.49,10365.28
13,LINKUSDT,2022-02-24 16:00:00,2022-03-06 16:00:00,11.33,1000.49,10478.64
14,AAVEUSDT,2022-02-24 18:00:00,2022-03-06 18:00:00,-3.71,1000.49,10441.52
15,ETHUSDT,2022-02-24 18:00:00,2022-03-06 18:00:00,3.59,1000.49,10477.44
17,XRPUSDT,2022-02-24 19:00:00,2022-03-06 19:00:00,6.34,1000.49,10589.99
16,BNBUSDT,2022-02-24 19:00:00,2022-03-06 19:00:00,4.91,1000.49,10526.56
18,DOGEUSDT,2022-03-14 04:00:00,2022-03-24 04:00:00,17.2,1059.0,10772.14
19,DOGEUSDT,2022-05-10 03:00:00,2022-05-11 11:00:00,-6.3,1077.21,10704.27
20,AAVEUSDT,2022-05-11 09:00:00,2022-05-11 11:00:00,-6.3,1077.21,10636.41
21,UNIUSDT,2022-05-11 10:00:00,2022-05-11 12:00:00,-6.3,1077.21,10568.55
22,LINKUSDT,2022-05-11 10:00:00,2022-05-11 12:00:00,-6.3,1077.21,10500.68
25,XRPUSDT,2022-05-11 13:00:00,2022-05-11 15:00:00,-6.3,1050.07,10434.53
23,BNBUSDT,2022-05-11 13:00:00,2022-05-11 17:00:00,-6.3,1050.07,10368.37
24,ETHUSDT,2022-05-11 13:00:00,2022-05-11 17:00:00,-6.3,1050.07,10302.22
26,BTCUSDT,2022-05-12 14:00:00,2022-05-22 14:00:00,1.0,1030.22,10312.52
27,NEARUSDT,2022-06-13 15:00:00,2022-06-14 02:00:00,-6.3,1031.25,10052.65
28,AAVEUSDT,2022-06-13 16:00:00,2022-06-13 23:00:00,-6.3,1031.25,10182.58
29,SOLUSDT,2022-06-13 16:00:00,2022-06-14 01:00:00,-6.3,1031.25,10117.61
30,ZECUSDT,2022-06-13 20:00:00,2022-06-13 22:00:00,-6.3,1031.25,10247.55
31,TRXUSDT,2022-06-14 03:00:00,2022-06-14 18:00:00,-6.3,1005.26,9925.98
32,UNIUSDT,2022-06-14 04:00:00,2022-06-15 08:00:00,-6.3,1005.26,9862.65
33,ZECUSDT,2022-06-14 05:00:00,2022-06-14 07:00:00,-6.3,1005.26,9989.31
34,DOGEUSDT,2022-11-09 11:00:00,2022-11-09 16:00:00,-6.3,986.27,9800.52
