,baseline_curve
2022-03-18,100.0
2022-03-19,100.0
2022-03-20,100.0
2022-03-21,100.0
2022-03-22,100.0
2022-03-23,100.0171861820303
2022-03-24,100.65110077297936
2022-03-25,100.60065630182604
2022-03-26,100.60065630182604
2022-03-27,100.60065630182604
2022-03-28,100.60065630182604
2022-03-29,100.66621300767441
2022-03-30,100.81314311876687
2022-03-31,101.12585950614017
2022-04-01,101.4822050993526
2022-04-02,101.4822050993526
2022-04-03,101.82321382167929
2022-04-04,101.72384178604416
2022-04-05,101.64436306322658
2022-04-06,101.66464199058942
2022-04-07,102.26514197759306
2022-04-08,102.10881602449531
2022-04-09,102.10881602449531
2022-04-10,101.91125522454472
2022-04-11,101.90403599119304
2022-04-12,101.84873517011424
2022-04-13,101.68385370277173
2022-04-14,101.80808599452484
2022-04-15,101.80808599452484
2022-04-16,101.80808599452484
2022-04-17,101.70875946932509
2022-04-18,101.68156822756245
2022-04-19,101.5503263060926
2022-04-20,101.54880204372651
2022-04-21,101.39014820844814
2022-04-22,101.38125354977639
2022-04-23,101.38125354977639
2022-04-24,101.31913180549338
2022-04-25,100.74230737018466
2022-04-26,100.25374606002244
2022-04-27,100.10510452052719
2022-04-28,99.59723458662884
2022-04-29,99.38961989339548
2022-04-30,99.3709378596752
2022-05-01,99.13308093619375
2022-05-02,98.98679840196392
2022-05-03,99.10118339438142
2022-05-04,99.05144063808228
2022-05-05,98.69588569757252
2022-05-06,98.12960141862538
2022-05-07,98.08189510474651
2022-05-08,97.98427522087322
2022-05-09,97.86998223370239
2022-05-10,97.83614448501734
2022-05-11,97.49112077524069
2022-05-12,97.42639205245455
2022-05-13,97.9613201792656
2022-05-14,97.9613201792656
2022-05-15,97.9613201792656
2022-05-16,97.87909996972628
2022-05-17,98.0450909357946
2022-05-18,98.07787084907265
2022-05-19,98.33376879224397
2022-05-20,98.23198654666595
2022-05-21,98.23198654666595
2022-05-22,98.5819845498956
2022-05-23,98.56867759682926
2022-05-24,98.56901085204704
2022-05-25,98.65611968535205
2022-05-26,98.87642323150378
2022-05-27,99.31855956060461
2022-05-28,99.31855956060461
2022-05-29,99.31855956060461
2022-05-30,99.31855956060461
2022-05-31,99.40413186041637
2022-06-01,99.33144449974083
2022-06-02,99.31390022690486
2022-06-03,99.30038591652273
2022-06-04,99.37200037185403
2022-06-05,99.39303757060482
2022-06-06,99.87740395502273
2022-06-07,99.66032995602023
2022-06-08,99.66997876736735
2022-06-09,99.66997876736735
2022-06-10,99.52419639107728
2022-06-11,99.47110846821565
2022-06-12,99.47110846821565
2022-06-13,99.1193933647419
2022-06-14,98.99668738673311
2022-06-15,98.41785460103993
2022-06-16,98.41785460103993
2022-06-17,98.3202284047538
2022-06-18,98.15089538513658
2022-06-19,98.15089538513658
2022-06-20,98.15089538513658
2022-06-21,98.31335759185696
2022-06-22,97.91873706379909
2022-06-23,97.91873706379909
2022-06-24,98.06998454388378
2022-06-25,98.09354757179771
2022-06-26,98.09354757179771
2022-06-27,97.75779562931572
2022-06-28,97.89047305138537
2022-06-29,98.10407669153024
2022-06-30,97.9591401013678
2022-07-01,97.9591401013678
2022-07-02,97.9591401013678
2022-07-03,97.9591401013678
2022-07-04,97.9591401013678
2022-07-05,97.9591401013678
2022-07-06,97.9591401013678
2022-07-07,98.01500312895723
2022-07-08,98.01500312895723
2022-07-09,98.01500312895723
2022-07-10,98.05482067213559
2022-07-11,98.04822203941313
2022-07-12,98.30412318837655
2022-07-13,98.41668925738996
2022-07-14,98.41668925738996
2022-07-15,98.51998645999237
2022-07-16,98.51998645999237
2022-07-17,98.47129036455756
2022-07-18,98.55093981199431
2022-07-19,98.59434500331308
2022-07-20,98.56428668436153
2022-07-21,98.87454218822674
2022-07-22,98.95508262247137
2022-07-23,100.19592337992216
2022-07-24,100.58452842556326
2022-07-25,100.46398709144282
2022-07-26,100.49039181284837
2022-07-27,100.48669395811707
2022-07-28,100.46457840111098
2022-07-29,100.62159741168051
2022-07-30,100.62159741168051
2022-07-31,100.62159741168051
2022-08-01,100.50022599539648
2022-08-02,100.52829707835077
2022-08-03,100.62686958339296
2022-08-04,101.01487811236183
2022-08-05,101.33018566178134
2022-08-06,101.27193247544935
2022-08-07,101.27193247544935
2022-08-08,101.19936403637473
2022-08-09,101.09591685561344
2022-08-10,102.02738382168475
2022-08-11,101.89326486345563
2022-08-12,101.93238216136018
2022-08-13,101.93238216136018
2022-08-14,101.88268833451714
2022-08-15,101.73875976440982
2022-08-16,101.70794272430082
2022-08-17,101.56509675745076
2022-08-18,101.56509675745076
2022-08-19,101.70765929084034
2022-08-20,101.68024227481129
2022-08-21,101.72839255669311
2022-08-22,101.52396814260685
2022-08-23,101.38137584564058
2022-08-24,101.38137584564058
2022-08-25,101.41186525432857
2022-08-26,101.25820175640374
2022-08-27,101.07799180993882
2022-08-28,100.93254045848936
2022-08-29,100.96802646514014
2022-08-30,100.69309056931006
2022-08-31,100.44658579905868
2022-09-01,100.23996499345617
2022-09-02,99.97855979991513
2022-09-03,99.97855979991513
2022-09-04,99.97855979991513
2022-09-05,99.97855979991513
2022-09-06,99.66749522747524
2022-09-07,99.73179546902111
2022-09-08,100.27937169588013
2022-09-09,100.6450404508576
2022-09-10,100.6450404508576
2022-09-11,100.6450404508576
2022-09-12,100.96237517628583
2022-09-13,100.76254829322858
2022-09-14,100.66434369735549
2022-09-15,100.59941429111032
2022-09-16,100.43672875985243
2022-09-17,100.53769061551858
2022-09-18,100.48576320875895
2022-09-19,100.37689085597361
2022-09-20,100.23689867074468
2022-09-21,99.86378038374885
2022-09-22,99.81340754009446
2022-09-23,99.65667260704197
2022-09-24,99.65667260704197
2022-09-25,99.65667260704197
2022-09-26,99.65667260704197
2022-09-27,99.65667260704197
2022-09-28,99.42709041172752
2022-09-29,99.41570918948078
2022-09-30,99.48291362897454
2022-10-01,99.52445327886048
2022-10-02,99.49322174258631
2022-10-03,99.36543368986571
2022-10-04,99.93052379578825
2022-10-05,99.93052379578825
2022-10-06,99.70639144991065
2022-10-07,99.41842468463351
2022-10-08,99.46184163997854
2022-10-09,99.4567736179391
2022-10-10,99.33364144363634
2022-10-11,99.1013757270805
2022-10-12,99.02870109623423
2022-10-13,99.10688147847368
2022-10-14,99.30423191028913
2022-10-15,99.30423191028913
2022-10-16,99.28616892515714
2022-10-17,99.39855656538133
2022-10-18,99.6069230952424
2022-10-19,99.3520266896146
2022-10-20,99.36516869064995
2022-10-21,99.30934913909286
2022-10-22,99.30934913909286
2022-10-23,99.41008648778916
2022-10-24,99.41008648778916
2022-10-25,99.88138540144115
2022-10-26,100.36195743962469
2022-10-27,100.5028434999994
2022-10-28,100.53275276653191
2022-10-29,100.53275276653191
2022-10-30,100.55788590446619
2022-10-31,100.58236700028496
2022-11-01,100.62288522374465
2022-11-02,100.65589894615235
2022-11-03,100.65589894615235
2022-11-04,100.90627628665068
2022-11-05,100.90627628665068
2022-11-06,100.6091276474871
2022-11-07,100.7886172602528
2022-11-08,101.36536780332939
2022-11-09,100.98752159203099
2022-11-10,101.36907135526614
2022-11-11,101.51234456172264
2022-11-12,101.28987708061973
2022-11-13,101.19581170128001
2022-11-14,101.2717115543376
2022-11-15,101.32805227499759
2022-11-16,101.3527789335678
2022-11-17,101.56007158207939
2022-11-18,101.92751057082114
2022-11-19,101.92751057082114
2022-11-20,101.92751057082114
2022-11-21,101.63401021998834
2022-11-22,101.64069574284046
2022-11-23,101.70344666366606
2022-11-24,101.70344666366606
2022-11-25,101.65592970535002
2022-11-26,101.65592970535002
2022-11-27,101.65592970535002
2022-11-28,101.59327382578593
2022-11-29,101.57681125755045
2022-11-30,101.80215046072088
2022-12-01,101.91833860222603
2022-12-02,102.43571828790847
2022-12-03,102.43571828790847
2022-12-04,102.43571828790847
2022-12-05,102.40223475483576
2022-12-06,102.31673556259267
2022-12-07,102.1565261192257
2022-12-08,102.1565261192257
2022-12-09,102.19105273270858
2022-12-10,102.19105273270858
2022-12-11,102.16238115842413
2022-12-12,102.04963672292577
2022-12-13,101.89416615066014
2022-12-14,101.94791013579496
2022-12-15,101.88189101928691
2022-12-16,101.28585693420345
2022-12-17,101.06950354855628
2022-12-18,101.06950354855628
2022-12-19,100.87641396877545
2022-12-20,100.896725251554
2022-12-21,100.9744476640976
2022-12-22,100.89786497897508
2022-12-23,100.87668607888143
2022-12-24,100.87668607888143
2022-12-25,100.87668607888143
2022-12-26,100.87668607888143
2022-12-27,100.79542822449963
2022-12-28,100.74563980820248
2022-12-29,100.70321966983454
2022-12-30,100.68352502892724
2022-12-31,100.68352502892724
2023-01-01,100.65440972789787
2023-01-02,100.61876367939264
2023-01-03,100.76306353124555
2023-01-04,100.77405331553105
2023-01-05,100.70764555731499
2023-01-06,100.62430340684516
2023-01-07,100.62430340684516
2023-01-08,101.11640774452442
2023-01-09,101.57860972630822
2023-01-10,102.24371060644589
2023-01-11,102.41919950098541
2023-01-12,102.6833774347316
2023-01-13,102.84366496045585
2023-01-14,102.96429975799404
2023-01-15,102.96429975799404
2023-01-16,102.96429975799404
2023-01-17,103.10948444053724
2023-01-18,103.2074012736047
2023-01-19,103.53235304924038
2023-01-20,103.7466599436425
2023-01-21,104.39724135847443
2023-01-22,104.39724135847443
2023-01-23,105.18548829108167
2023-01-24,105.10696085256825
2023-01-25,105.28509847750243
2023-01-26,105.49277870083733
2023-01-27,105.63072262694521
2023-01-28,105.63072262694521
2023-01-29,105.63072262694521
2023-01-30,105.51661697343265
2023-01-31,105.43706271605937
2023-02-01,105.37711357261239
2023-02-02,105.37039121978663
2023-02-03,105.45479841967314
2023-02-04,105.45479841967314
2023-02-05,105.36526336364314
2023-02-06,105.46448458868647
2023-02-07,105.64534305198328
2023-02-08,105.69069545097847
2023-02-09,105.6732297162152
2023-02-10,105.6735746988149
2023-02-11,105.6033634746445
2023-02-12,105.6033634746445
2023-02-13,105.67328815449679
2023-02-14,105.69971424650643
2023-02-15,105.83197217777547
2023-02-16,105.76672937581068
2023-02-17,105.73293245893778
2023-02-18,105.73293245893778
2023-02-19,105.8000034630675
2023-02-20,106.14406235448108
2023-02-21,106.08305010064687
2023-02-22,106.09387225454223
2023-02-23,106.30573074410012
2023-02-24,106.2077960469575
2023-02-25,106.1792268711526
2023-02-26,106.24907041366305
2023-02-27,106.28797763560452
2023-02-28,106.18274951161295
2023-03-01,106.23506798538801
2023-03-02,106.14657490411928
2023-03-03,106.11118999859582
2023-03-04,105.9959348210158
2023-03-05,105.86655523760238
2023-03-06,105.9086743588741
2023-03-07,105.7546010067763
2023-03-08,105.63976680072346
2023-03-09,105.55573178180877
2023-03-10,105.4948006434019
2023-03-11,105.37609805034242
2023-03-12,105.47595496113831
2023-03-13,105.28430320100131
2023-03-14,105.3826168404366
2023-03-15,105.25922137129857
2023-03-16,105.40595724086046
2023-03-17,105.30862389889279
2023-03-18,105.30862389889279
2023-03-19,105.30862389889279
2023-03-20,105.42847264332393
2023-03-21,106.49769219968891
2023-03-22,106.46900519962416
2023-03-23,106.51518208067785
2023-03-24,106.58154741038803
2023-03-25,106.58154741038803
2023-03-26,106.58154741038803
2023-03-27,106.76929235330348
2023-03-28,106.84267843026211
2023-03-29,107.18495490175172
2023-03-30,107.43305091124151
2023-03-31,107.59756967794341
2023-04-01,107.7315637772879
2023-04-02,107.6718361095377
2023-04-03,107.62782254900733
2023-04-04,107.7686115517283
2023-04-05,107.78302352920257
2023-04-06,107.90355659911792
2023-04-07,107.98793294629792
2023-04-08,107.98793294629792
2023-04-09,108.01257010936655
2023-04-10,108.27215988701569
2023-04-11,108.35265383452214
2023-04-12,108.36457110749514
2023-04-13,108.57870759882495
2023-04-14,108.76319434341501
