entry_time,entry_price,exit_time,exit_price,result,pnl_pct,holding_days,rsi_at_entry
2018-03-07,9910,2018-03-08,9414.5,stop_loss,-5.2999999999999998,1,3.8999999999999999
2018-03-09,9227,2018-03-10,8765.6499999999996,stop_loss,-5.2999999999999998,1,1.79
2019-08-14,10050.370000000001,2019-08-18,10306.780000000001,sma_exit,2.25,4,3.0099999999999998
2019-09-24,8493.1399999999994,2019-09-26,8068.4829999999993,stop_loss,-5.2999999999999998,2,0.94999999999999996
2020-02-26,8785.25,2020-03-02,8915.2399999999998,sma_exit,1.1799999999999999,5,4.9100000000000001
2020-06-27,9012,2020-06-29,9192.5599999999995,sma_exit,1.7,2,4.79
2021-01-21,30850.130000000001,2021-01-22,29307.623499999998,stop_loss,-5.2999999999999998,1,2.4399999999999999
2021-02-28,45135.660000000003,2021-03-01,49587.029999999999,sma_exit,9.5600000000000005,1,3.8399999999999999
2021-03-22,54083.25,2021-03-25,51379.087499999994,stop_loss,-5.2999999999999998,3,4.04
2021-04-18,56150.010000000002,2021-04-20,53342.5095,stop_loss,-5.2999999999999998,2,2.9300000000000002
2021-04-23,51125.139999999999,2021-04-25,48568.882999999994,stop_loss,-5.2999999999999998,2,4.04
2021-05-15,46762.989999999998,2021-05-16,44424.840499999998,stop_loss,-5.2999999999999998,1,4
2021-05-17,43538.040000000001,2021-05-19,41361.137999999999,stop_loss,-5.2999999999999998,2,1.02
2021-11-18,56891.620000000003,2021-11-20,59707.510000000002,sma_exit,4.6500000000000004,2,4.71
2021-12-04,49152.470000000001,2021-12-08,50471.190000000002,sma_exit,2.3799999999999999,4,1.55
2021-12-10,47140.540000000001,2021-12-11,49389.989999999998,sma_exit,4.4699999999999998,1,4.4500000000000002
2023-02-24,23185.290000000001,2023-02-27,23492.09,sma_exit,1.02,3,4.6799999999999997
2023-03-08,21705.439999999999,2023-03-09,20620.167999999998,stop_loss,-5.2999999999999998,1,2.23
2023-03-10,20150.689999999999,2023-03-12,21997.110000000001,sma_exit,8.8599999999999994,2,0.34999999999999998
2023-05-11,26968.619999999999,2023-05-15,27162.139999999999,sma_exit,0.41999999999999998,4,1.6100000000000001
2023-06-14,25128.599999999999,2023-06-16,26345,sma_exit,4.54,2,3.75
2024-01-22,39568.019999999997,2024-01-26,41823.510000000002,sma_exit,5.4000000000000004,4,2.98
2024-05-01,58364.970000000001,2024-05-03,62882.010000000002,sma_exit,7.4400000000000004,2,4.6299999999999999
2024-06-11,67314.240000000005,2024-06-17,66504.330000000002,sma_exit,-1.5,6,4.46
2024-06-21,64143.559999999998,2024-06-24,60936.381999999998,stop_loss,-5.2999999999999998,3,1.8200000000000001
2024-11-04,67850.009999999995,2024-11-05,69372.009999999995,sma_exit,1.9399999999999999,1,4.0800000000000001
2024-12-22,95186.270000000004,2024-12-24,98663.580000000002,sma_exit,3.3500000000000001,2,4.4100000000000001
2025-02-24,91552.880000000005,2025-02-25,86975.236000000004,stop_loss,-5.2999999999999998,1,4.2599999999999998
2025-02-26,84250.089999999997,2025-02-28,80037.585499999986,stop_loss,-5.2999999999999998,2,0.79000000000000004
2025-05-30,103985.48,2025-06-01,105642.92999999999,sma_exit,1.29,2,2.7799999999999998
2025-06-05,101508.67999999999,2025-06-07,105552.14999999999,sma_exit,3.6800000000000002,2,2.96
2025-06-21,102120.00999999999,2025-06-23,105333.92999999999,sma_exit,2.8500000000000001,2,3.9500000000000002
2025-07-31,115764.08,2025-08-04,115055.03,sma_exit,-0.91000000000000003,4,4.4100000000000001
2025-08-19,112872.94,2025-08-22,116935.99000000001,sma_exit,3.2999999999999998,3,1.8400000000000001
2025-09-22,112650.99000000001,2025-09-28,112163.95,sma_exit,-0.72999999999999998,6,2.52
2025-10-11,110644.39999999999,2025-10-13,115166,sma_exit,3.79,2,4.2300000000000004
2026-09-10,76568.720000000001,2026-09-14,78189.210000000006,sma_exit,1.8200000000000001,4,3.1000000000000001
