signal_time,entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score
2017-08-22 05:00:00,2017-08-22 06:00:00,long,3803,2017-08-23 02:00:00,4112.8325599999998,take_profit,8.1500000000000004,7.8499999999999996,0.34000000000000002
2017-12-30 05:00:00,2017-12-30 06:00:00,long,13370,2017-12-30 10:00:00,12968.9,stop_loss,-3,-3.2999999999999998,0.66000000000000003
2018-01-08 15:00:00,2018-01-08 16:00:00,long,14839.780000000001,2018-01-08 17:00:00,14394.586600000001,stop_loss,-3,-3.2999999999999998,0.34000000000000002
2018-01-16 13:00:00,2018-01-16 14:00:00,long,11630.01,2018-01-16 17:00:00,11281.109699999999,stop_loss,-3,-3.2999999999999998,0.33000000000000002
2018-02-04 20:00:00,2018-02-04 21:00:00,long,8081.8299999999999,2018-02-05 08:00:00,7839.3750999999993,stop_loss,-3,-3.2999999999999998,0.33000000000000002
2018-02-05 19:00:00,2018-02-05 20:00:00,long,7188.3800000000001,2018-02-05 22:00:00,6972.7285999999995,stop_loss,-3,-3.2999999999999998,0.33000000000000002
2018-02-06 07:00:00,2018-02-06 08:00:00,long,6147,2018-02-06 09:00:00,6736.8003600000002,take_profit,9.5899999999999999,9.2899999999999991,0.34000000000000002
2018-02-22 17:00:00,2018-02-22 20:00:00,long,10065.02,2018-02-23 00:00:00,9763.0694000000003,stop_loss,-3,-3.2999999999999998,0.33000000000000002
2018-03-15 06:00:00,2018-03-15 08:00:00,long,8185.0100000000002,2018-03-15 15:00:00,7939.4597000000003,stop_loss,-3,-3.2999999999999998,0.33000000000000002
2018-03-27 04:00:00,2018-03-27 06:00:00,long,7963.96,2018-03-29 04:00:00,7725.0411999999997,stop_loss,-3,-3.2999999999999998,0.33000000000000002
2018-06-13 16:00:00,2018-06-13 18:00:00,long,6319.9499999999998,2018-06-22 13:00:00,6130.3514999999998,stop_loss,-3,-3.2999999999999998,0.33000000000000002
2018-06-24 15:00:00,2018-06-24 16:00:00,long,6190,2018-06-27 00:00:00,6004.3000000000002,stop_loss,-3,-3.2999999999999998,0.33000000000000002
