entry_time,entry_price,exit_time,exit_price,result,pnl_pct,holding_days,setup_day_low
1982-12-14,0.096842564642429296,1982-12-15,0.095562790467604297,stop_loss,-1.6200000000000001,1,0.095562790467604297
1983-01-10,0.098122388124465901,1983-01-24,0.1203067302703857,time_exit,22.309999999999999,14,0.093003283156792196
1983-03-11,0.1446240544319152,1983-03-14,0.14121131347313889,stop_loss,-2.6600000000000001,3,0.14121131347313889
1983-03-15,0.1433442533016204,1983-03-29,0.14931732416152951,time_exit,3.8700000000000001,14,0.1369446047553424
1983-04-07,0.13523830473423001,1983-04-08,0.13438511351146029,stop_loss,-0.93000000000000005,1,0.13438511351146029
1983-06-20,0.18216650187969199,1983-06-21,0.180460131333673,stop_loss,-1.24,1,0.180460131333673
1983-06-29,0.16766159236431119,1983-07-13,0.15614281953055381,stop_loss,-7.1699999999999999,14,0.15614281953055381
1983-07-18,0.15102365612983701,1983-07-20,0.1476101418591681,stop_loss,-2.5600000000000001,2,0.1476101418591681
1983-07-29,0.1190269887447357,1983-08-03,0.1156142472690338,stop_loss,-3.1699999999999999,5,0.1156142472690338
1983-08-23,0.1087879762053489,1983-08-24,0.1079347967272988,stop_loss,-1.0800000000000001,1,0.1079347967272988
1983-08-25,0.1040954366326332,1983-08-29,0.1023890666773722,stop_loss,-1.9399999999999999,4,0.1023890666773722
1983-09-15,0.1028156876564025,1983-09-16,0.1015359127187752,stop_loss,-1.54,1,0.1015359127187752
1983-09-28,0.078071795403957298,1983-10-05,0.075511470716877693,stop_loss,-3.5800000000000001,7,0.075511470716877693
1983-10-06,0.075938060879707295,1983-10-07,0.074231690513322401,stop_loss,-2.5499999999999998,1,0.074231690513322401
1983-10-24,0.072098761796951294,1983-11-07,0.0716721266508102,time_exit,-0.89000000000000001,14,0.061006585446729399
1983-11-08,0.061006590723991297,1983-11-22,0.073378510773181901,time_exit,19.98,14,0.058873629332242598
1984-01-30,0.084470681846141801,1984-01-31,0.082337721587884397,stop_loss,-2.8300000000000001,1,0.082337721587884397
1984-02-06,0.079351536929607294,1984-02-07,0.078924947336239198,stop_loss,-0.83999999999999997,1,0.078924947336239198
1984-03-23,0.087030276656150804,1984-03-27,0.085323905404872294,stop_loss,-2.2599999999999998,4,0.085323905404872294
1984-05-30,0.098975606262683799,1984-06-05,0.095562864877830597,stop_loss,-3.75,6,0.095562864877830597
1984-06-06,0.098975606262683799,1984-06-20,0.1032422557473182,time_exit,4.0099999999999998,14,0.0947096795316172
1984-07-06,0.085750445723533603,1984-07-20,0.086603611707687295,time_exit,0.68999999999999995,14,0.082764300610653901
1984-08-03,0.093429900705814306,1984-08-17,0.093856491148471805,time_exit,0.16,14,0.081911132871749504
1984-09-04,0.089590519666671697,1984-09-05,0.088736571513212695,stop_loss,-1.25,1,0.088736571513212695
1984-09-10,0.090017139911651597,1984-09-24,0.090870335698127705,time_exit,0.65000000000000002,14,0.088310000697887497
1985-02-15,0.095562860369682298,1985-02-20,0.093429899952766002,stop_loss,-2.5299999999999998,5,0.093429899952766002
1985-03-01,0.084897294640540993,1985-03-07,0.081911148330045397,stop_loss,-3.8199999999999998,6,0.081911148330045397
1985-04-04,0.071245513856410897,1985-04-08,0.070392329048807906,stop_loss,-1.5,4,0.070392329048807906
1985-05-03,0.068259395658969796,1985-05-17,0.074231684207916204,time_exit,8.4499999999999993,14,0.065699840055846295
1986-06-17,0.1168939992785453,1986-06-18,0.11604080846608041,stop_loss,-1.03,1,0.11604080846608041
1986-09-29,0.1109209731221199,1986-10-13,0.11817377060651769,time_exit,6.2400000000000002,14,0.1079348270228143
1987-01-02,0.13950496912002561,1987-01-16,0.1663817763328552,time_exit,18.969999999999999,14,0.13694465535479461
1987-03-30,0.2133099883794784,1987-04-13,0.2303745746612548,time_exit,7.7000000000000002,14,0.2124567977304325
1987-05-20,0.2546522319316864,1987-06-04,0.26832464337348938,time_exit,5.0700000000000003,15,0.24781636135396701
1988-01-20,0.27268803119659418,1988-02-03,0.27097311615943909,time_exit,-0.93000000000000005,14,0.2623978269481389
1988-02-08,0.26582753658294678,1988-02-23,0.29384627938270569,time_exit,10.24,15,0.25896792922945561
1988-03-28,0.28525471687316889,1988-03-30,0.27150763345602458,stop_loss,-5.1200000000000001,2,0.27150763345602458
1988-04-04,0.26635202765464783,1988-04-05,0.26463374796465811,stop_loss,-0.94999999999999996,1,0.26463374796465811
1988-04-15,0.27150759100914001,1988-04-29,0.28181740641593928,time_exit,3.5,14,0.26463364887057089
1988-05-19,0.26860061287879938,1988-05-23,0.26515723248976408,stop_loss,-1.5800000000000001,4,0.26515723248976408
1988-07-25,0.29442763328552241,1988-07-26,0.29098425127374861,stop_loss,-1.47,1,0.29098425127374861
1988-07-28,0.29356673359870911,1988-08-10,0.29098418047682528,stop_loss,-1.1799999999999999,13,0.29098418047682528
1988-08-19,0.28118231892585749,1988-08-22,0.27945737137997029,stop_loss,-0.91000000000000003,3,0.27945737137997029
