entry_time,entry_price,exit_time,exit_price,result,pnl_pct
2017-08-17 08:00:00,4427.3000000000002,2017-08-17 16:00:00,4294.4809999999998,stop_loss,-3.2999999999999998
2017-08-24 04:00:00,4153.3199999999997,2017-09-02 12:00:00,4460.1899999999996,trend_flip,7.0899999999999999
2017-10-21 08:00:00,6116.9799999999996,2017-10-21 16:00:00,5933.4705999999996,stop_loss,-3.2999999999999998
2017-11-15 08:00:00,6998,2017-11-23 20:00:00,8019.9899999999998,t3_crossunder,14.300000000000001
2017-12-26 16:00:00,15787.879999999999,2017-12-27 08:00:00,15314.243599999998,stop_loss,-3.2999999999999998
2018-01-20 12:00:00,12539.049999999999,2018-01-21 04:00:00,12162.878499999999,stop_loss,-3.2999999999999998
2018-03-13 04:00:00,9205.1700000000001,2018-03-13 08:00:00,8929.0149000000001,stop_loss,-3.2999999999999998
2018-04-03 08:00:00,7307.4799999999996,2018-04-04 08:00:00,7088.2555999999995,stop_loss,-3.2999999999999998
2018-05-30 04:00:00,7491.1199999999999,2018-05-30 16:00:00,7266.3863999999994,stop_loss,-3.2999999999999998
2018-06-16 16:00:00,6488.1899999999996,2018-06-22 08:00:00,6293.5442999999996,stop_loss,-3.2999999999999998
2018-06-30 08:00:00,6399,2018-07-07 04:00:00,6589.9300000000003,t3_crossunder,2.6800000000000002
2018-07-24 00:00:00,7774,2018-07-27 00:00:00,7886.3500000000004,trend_flip,1.1499999999999999
2018-09-12 04:00:00,6244.9399999999996,2018-09-17 12:00:00,6265.0600000000004,trend_flip,0.02
2018-09-21 08:00:00,6742.2299999999996,2018-09-25 00:00:00,6539.963099999999,stop_loss,-3.2999999999999998
2018-10-15 12:00:00,6907.0100000000002,2018-10-15 20:00:00,6699.7996999999996,stop_loss,-3.2999999999999998
2018-11-28 16:00:00,4332.1700000000001,2018-11-28 20:00:00,4202.2048999999997,stop_loss,-3.2999999999999998
2018-12-11 04:00:00,3421.2600000000002,2018-12-13 20:00:00,3318.6222000000002,stop_loss,-3.2999999999999998
2018-12-17 20:00:00,3509.0799999999999,2018-12-25 00:00:00,3709.0999999999999,trend_flip,5.4000000000000004
2019-01-16 04:00:00,3555.0700000000002,2019-01-20 12:00:00,3524.6300000000001,trend_flip,-1.1599999999999999
2019-02-09 00:00:00,3646.4499999999998,2019-02-13 20:00:00,3609.4000000000001,t3_crossunder,-1.3200000000000001
2019-02-18 08:00:00,3745.3699999999999,2019-02-24 12:00:00,3778.6500000000001,trend_flip,0.58999999999999997
2019-03-03 08:00:00,3821,2019-03-04 04:00:00,3706.3699999999999,stop_loss,-3.2999999999999998
