entry_time,entry_price,exit_time,exit_price,result,pnl_pct,holding_days,setup_day_low
2018-02-01,9224.5200000000004,2018-02-02,8750.9899999999998,stop_loss,-5.4299999999999997,1,8750.9899999999998
2018-02-04,8184.8100000000004,2018-02-05,7930,stop_loss,-3.4100000000000001,1,7930
2018-02-06,7652.1400000000003,2018-02-16,10159.98,time_exit,32.469999999999999,10,6000.0100000000002
2018-03-09,9227,2018-03-14,8329,stop_loss,-10.029999999999999,5,8329
2018-03-15,8240.9799999999996,2018-03-18,7650,stop_loss,-7.4699999999999998,3,7650
2018-04-01,6813.0100000000002,2018-04-11,6953.79,time_exit,1.77,10,6430
2018-05-12,8465.9400000000005,2018-05-16,8153,stop_loss,-4,4,8153
2018-05-18,8239.8099999999995,2018-05-23,7911.8999999999996,stop_loss,-4.2800000000000002,5,7911.8999999999996
2018-05-24,7575.0100000000002,2018-05-27,7266.9899999999998,stop_loss,-4.3700000000000001,3,7266.9899999999998
2018-05-29,7461.29,2018-06-08,7603.4399999999996,time_exit,1.6100000000000001,10,7032.9499999999998
2018-06-11,6872,2018-06-12,6610,stop_loss,-4.1100000000000003,1,6610
2018-06-24,6136.9700000000003,2018-07-04,6586.9799999999996,time_exit,7.0300000000000002,10,5750
2018-08-10,6144.0100000000002,2018-08-11,6026.3900000000003,stop_loss,-2.21,1,6026.3900000000003
2018-08-14,6188.0799999999999,2018-08-24,6681.6400000000003,time_exit,7.6799999999999997,10,5880
2018-11-15,5753.3999999999996,2018-11-19,5403.4200000000001,stop_loss,-6.3799999999999999,4,5403.4200000000001
2018-11-23,4420.6099999999997,2018-11-24,4222.9399999999996,stop_loss,-4.7699999999999996,1,4222.9399999999996
2018-11-25,4085.7800000000002,2018-12-05,3769.8400000000001,time_exit,-8.0299999999999994,10,3652.6599999999999
2018-12-08,3410.9299999999998,2018-12-14,3222,stop_loss,-5.8399999999999999,6,3222
2018-12-15,3211.7199999999998,2018-12-25,3745.79,time_exit,16.329999999999998,10,3156.2600000000002
2019-01-11,3601.3099999999999,2019-01-13,3465,stop_loss,-4.0899999999999999,2,3465
2019-01-22,3570.9299999999998,2019-01-28,3434.8499999999999,stop_loss,-4.1100000000000003,6,3434.8499999999999
2019-01-29,3411.04,2019-02-08,3659.04,time_exit,6.9699999999999998,10,3349.9200000000001
2019-07-17,9667.9200000000001,2019-07-27,9476.5200000000004,time_exit,-2.2799999999999998,10,9060
2019-09-23,9702.25,2019-09-24,9615.7700000000004,stop_loss,-1.1899999999999999,1,9615.7700000000004
2019-09-26,8063.7299999999996,2019-09-30,7750,stop_loss,-4.1900000000000004,4,7750
2019-11-15,8471.7299999999996,2019-11-16,8400,stop_loss,-1.1499999999999999,1,8400
2019-11-17,8502.3999999999996,2019-11-18,8350.6800000000003,stop_loss,-2.0800000000000001,1,8350.6800000000003
2019-11-19,8133.6400000000003,2019-11-21,8003,stop_loss,-1.9099999999999999,2,8003
2019-11-25,7109.5699999999997,2019-12-05,7389,time_exit,3.6299999999999999,10,6515
2019-12-16,6891.7200000000003,2019-12-17,6836,stop_loss,-1.1100000000000001,1,6836
2019-12-18,7277.8299999999999,2019-12-28,7316.1400000000003,time_exit,0.23000000000000001,10,6435
2020-02-27,8823.2099999999991,2020-02-28,8531,stop_loss,-3.6099999999999999,1,8531
2020-03-01,8531.8799999999992,2020-03-08,8411,stop_loss,-1.72,7,8411
2020-03-11,7934.5200000000004,2020-03-12,7590,stop_loss,-4.6399999999999997,1,7590
2020-03-13,5578.6000000000004,2020-03-23,6467.3100000000004,time_exit,15.630000000000001,10,3782.1300000000001
2020-06-27,9012,2020-07-07,9257.3899999999994,time_exit,2.4199999999999999,10,8833
2020-09-04,10446.25,2020-09-05,9875.5,stop_loss,-5.7599999999999998,1,9875.5
2021-04-18,56150.010000000002,2021-04-22,50931.300000000003,stop_loss,-9.5899999999999999,4,50931.300000000003
2021-04-23,51125.139999999999,2021-04-25,47500,stop_loss,-7.3899999999999997,2,47500
2021-05-13,49670.970000000001,2021-05-16,46000,stop_loss,-7.6900000000000004,3,46000
2021-06-22,32509.560000000001,2021-07-02,33786.550000000003,time_exit,3.6299999999999999,10,28805
2021-09-07,46863.730000000003,2021-09-17,47299.980000000003,time_exit,0.63,10,42843.050000000003
2021-09-20,43015.620000000003,2021-09-21,42500,stop_loss,-1.5,1,42500
2021-11-19,58052.239999999998,2021-11-23,55600,stop_loss,-4.5199999999999996,4,55600
2021-11-28,57274.879999999997,2021-12-03,53256.639999999999,stop_loss,-7.3200000000000003,5,53256.639999999999
2022-01-06,43082.309999999998,2022-01-07,42430.580000000002,stop_loss,-1.8100000000000001,1,42430.580000000002
2022-01-08,41679.739999999998,2022-01-10,40501,stop_loss,-3.1299999999999999,2,40501
2022-01-24,36660.349999999999,2022-02-03,37311.610000000001,time_exit,1.48,10,32917.169999999998
2022-02-24,38327.209999999999,2022-03-06,38420.809999999998,time_exit,-0.059999999999999998,10,34322.279999999999
2022-04-18,40801.129999999997,2022-04-25,38536.510000000002,stop_loss,-5.8499999999999996,7,38536.510000000002
2022-05-01,38468.349999999999,2022-05-05,37386.379999999997,stop_loss,-3.1099999999999999,4,37386.379999999997
2022-05-06,36013.769999999997,2022-05-07,35258,stop_loss,-2.3999999999999999,1,35258
2022-05-10,31017.099999999999,2022-05-11,29730.400000000001,stop_loss,-4.4500000000000002,1,29730.400000000001
2022-05-12,29029.75,2022-05-22,30293.939999999999,time_exit,4.0499999999999998,10,26700
2022-06-14,22136.41,2022-06-15,20846,stop_loss,-6.1299999999999999,1,20846
2022-08-20,21140.07,2022-08-26,20761.900000000001,stop_loss,-2.0899999999999999,6,20761.900000000001
2022-09-07,19292.84,2022-09-17,20113.619999999999,time_exit,3.9500000000000002,10,18510.77
2022-09-19,19537.02,2022-09-21,18232.560000000001,stop_loss,-6.9800000000000004,2,18232.560000000001
2022-10-13,19375.130000000001,2022-10-23,19570.400000000001,time_exit,0.70999999999999996,10,18190
2022-11-21,15781.290000000001,2022-12-01,16977.369999999999,time_exit,7.2800000000000002,10,15476
2023-02-13,21773.970000000001,2023-02-23,23940.200000000001,time_exit,9.6500000000000004,10,21351.07
2023-03-07,22197.959999999999,2023-03-08,21927,stop_loss,-1.52,1,21927
2023-03-10,20150.689999999999,2023-03-20,27717.009999999998,time_exit,37.25,10,19549.09
2023-04-21,27262.84,2023-04-24,27125,stop_loss,-0.81000000000000005,3,27125
2023-05-10,27598.75,2023-05-11,26777,stop_loss,-3.2799999999999998,1,26777
2023-05-12,26795.009999999998,2023-05-22,26849.27,time_exit,-0.10000000000000001,10,25811.459999999999
2023-06-06,27230.080000000002,2023-06-14,25351.02,stop_loss,-7.2000000000000002,8,25351.02
2023-06-15,25598.490000000002,2023-06-25,30462.66,time_exit,18.699999999999999,10,24800
2023-08-01,29705.990000000002,2023-08-11,29426.029999999999,time_exit,-1.24,10,28585.700000000001
2024-01-18,41327.5,2024-01-19,40683.279999999999,stop_loss,-1.8600000000000001,1,40683.279999999999
2024-01-23,39897.599999999999,2024-02-02,43200,time_exit,7.9800000000000004,10,38555
2024-04-13,63924.510000000002,2024-04-17,60660.57,stop_loss,-5.4100000000000001,4,60660.57
2024-04-19,63818.010000000002,2024-04-29,63866,time_exit,-0.22,10,59600.010000000002
2024-04-30,60672,2024-05-01,59191.599999999999,stop_loss,-2.7400000000000002,1,59191.599999999999
2024-06-11,67314.240000000005,2024-06-14,66051,stop_loss,-2.1800000000000002,3,66051
2024-06-18,65175.32,2024-06-21,64060,stop_loss,-2.0099999999999998,3,64060
2024-09-04,57970.900000000001,2024-09-06,55606,stop_loss,-4.3799999999999999,2,55606
2024-10-10,60326.389999999999,2024-10-20,69031.990000000005,time_exit,14.130000000000001,10,58946
2024-12-30,92792.050000000003,2025-01-09,91530.449999999997,stop_loss,-1.6599999999999999,10,91530.449999999997
2025-01-13,94536.100000000006,2025-01-23,103910.34,time_exit,9.6199999999999992,10,89256.690000000002
2025-02-03,101328.52,2025-02-13,96608.139999999999,time_exit,-4.96,10,91231
2025-02-28,84349.940000000002,2025-03-10,78258.520000000004,stop_loss,-7.5199999999999996,10,78258.520000000004
2025-03-11,82932.990000000005,2025-03-21,84088.789999999994,time_exit,1.0900000000000001,10,76606
2025-04-07,79163.240000000005,2025-04-17,84947.910000000003,time_exit,7.0099999999999998,10,74508
2025-06-22,100963.87,2025-07-02,108849.60000000001,time_exit,7.5099999999999998,10,98200
2025-08-03,114208.8,2025-08-13,123306.42999999999,time_exit,7.6699999999999999,10,111920
2025-08-22,116935.99000000001,2025-08-24,111684.78999999999,stop_loss,-4.79,2,111684.78999999999
2025-08-26,111763.22,2025-08-29,108666.66,stop_loss,-3.0699999999999998,3,108666.66
2025-08-30,108816.33,2025-09-01,107350.10000000001,stop_loss,-1.6499999999999999,2,107350.10000000001
2025-09-26,109643.46000000001,2025-10-06,124658.53999999999,time_exit,13.390000000000001,10,108620.07000000001
2025-10-10,112774.5,2025-10-20,110532.09,time_exit,-2.29,10,102000
2025-11-13,99692.020000000004,2025-11-14,98000.399999999994,stop_loss,-2,1,98000.399999999994
2025-11-16,94261.440000000002,2025-11-17,93005.550000000003,stop_loss,-1.6299999999999999,1,93005.550000000003
2025-11-18,92960.830000000002,2025-11-19,89253.779999999999,stop_loss,-4.29,1,89253.779999999999
2026-01-21,89454.729999999996,2026-01-25,87263.529999999999,stop_loss,-2.75,4,87263.529999999999
2026-01-30,84260.490000000005,2026-01-31,81118,stop_loss,-4.0300000000000002,1,81118
2026-02-01,76968.210000000006,2026-02-02,75700,stop_loss,-1.95,1,75700
2026-02-03,75770.210000000006,2026-02-04,72945.5,stop_loss,-4.0300000000000002,1,72945.5
2026-02-06,70580.259999999995,2026-02-16,68892.429999999993,time_exit,-2.6899999999999999,10,60000
2026-03-27,66407.279999999999,2026-03-29,65548.25,stop_loss,-1.5900000000000001,2,65548.25
