deviation_pct,stop_loss_pct,take_profit_fib,use_take_profit,num_trades,num_symbols,win_rate,total_return_pct,avg_return_pct,max_drawdown_pct,robustness_score
5.0,3.0,0.236,True,519,138,86.7,3355.99,6.47,-6.6,22.333
5.0,2.0,0.236,True,519,138,84.8,3311.67,6.38,-6.9,21.065
4.0,2.0,0.236,True,742,143,85.4,3880.74,5.23,-6.9,20.647
3.0,2.0,0.236,True,1127,145,87.5,4706.61,4.18,-6.9,20.337
2.0,2.0,0.236,True,1735,147,89.2,5641.56,3.25,-9.2,14.714
4.0,3.0,0.236,True,742,143,87.2,3907.97,5.27,-9.9,14.5
3.0,3.0,0.236,True,1127,145,89.5,4768.9,4.23,-9.9,14.344
3.0,2.0,0.5,True,1127,145,60.2,6417.21,5.69,-13.8,13.842
5.0,5.0,0.236,True,519,138,88.1,3341.52,6.44,-10.6,13.841
3.0,5.0,0.236,True,1127,145,91.0,4762.91,4.23,-10.6,13.397
3.0,2.0,0.382,True,1127,145,71.3,5926.6,5.26,-13.8,12.796
4.0,2.0,0.382,True,742,143,68.6,4782.76,6.45,-13.8,12.732
2.0,2.0,0.382,True,1735,147,73.0,7034.13,4.05,-13.8,12.224
5.0,2.0,,False,519,138,41.4,7682.43,14.8,-27.6,12.216
2.0,5.0,0.236,True,1735,147,93.3,5816.51,3.35,-12.95,10.775
2.0,3.0,0.236,True,1735,147,91.5,5757.04,3.32,-13.2,10.476
5.0,3.0,,False,519,138,43.9,7722.69,14.88,-33.0,10.272
4.0,2.0,,False,742,143,37.5,8910.2,12.01,-32.2,10.16
3.0,3.0,0.5,True,1127,145,64.4,6600.78,5.86,-19.8,9.936
2.0,2.0,0.5,True,1735,147,62.0,7578.14,4.37,-18.4,9.893
5.0,2.0,0.382,True,519,138,67.1,3999.78,7.71,-18.4,9.546
2.0,3.0,0.5,True,1735,147,67.2,7919.88,4.56,-20.05,9.473
3.0,3.0,0.382,True,1127,145,74.5,6003.94,5.33,-18.89,9.472
4.0,5.0,0.236,True,742,143,88.5,3862.32,5.21,-15.9,8.926
5.0,8.0,0.236,True,519,138,90.2,3355.79,6.47,-16.6,8.879
5.0,3.0,0.382,True,519,138,69.2,3999.92,7.71,-19.8,8.871
4.0,3.0,0.382,True,742,143,70.5,4740.41,6.39,-19.8,8.791
2.0,3.0,0.382,True,1735,147,77.0,7226.47,4.17,-19.8,8.772
5.0,2.0,0.5,True,519,138,58.8,4594.34,8.85,-23.0,8.766
2.0,5.0,0.382,True,1735,147,81.7,7434.84,4.29,-21.2,8.429
4.0,2.0,0.5,True,742,143,58.5,5310.65,7.16,-23.88,8.167
3.0,5.0,0.382,True,1127,145,79.2,6168.98,5.47,-22.51,8.158
3.0,8.0,0.236,True,1127,145,92.2,4652.11,4.13,-17.0,8.156
2.0,8.0,0.236,True,1735,147,94.6,5790.95,3.34,-17.4,7.996
2.0,2.0,,False,1735,147,30.4,12584.83,7.26,-39.1,7.734
5.0,5.0,0.382,True,519,138,72.6,4029.14,7.76,-23.26,7.6
5.0,8.0,0.382,True,519,138,77.3,4137.52,7.97,-24.92,7.286
2.0,8.0,0.382,True,1735,147,85.6,7554.04,4.35,-24.9,7.277
3.0,8.0,0.382,True,1127,145,82.5,6132.09,5.44,-25.3,7.218
4.0,3.0,,False,742,143,38.9,8685.56,11.71,-46.2,6.904
4.0,5.0,0.382,True,742,143,74.4,4769.18,6.43,-26.5,6.609
3.0,2.0,,False,1127,145,33.3,10614.11,9.43,-48.3,6.554
5.0,5.0,,False,519,138,47.6,7850.97,15.13,-53.0,6.503
3.0,5.0,0.5,True,1127,145,69.7,6747.91,5.99,-31.8,6.324
2.0,5.0,0.5,True,1735,147,73.4,8238.0,4.75,-31.8,6.222
5.0,3.0,0.5,True,519,138,61.7,4640.92,8.94,-33.0,6.172
2.0,3.0,,False,1735,147,35.3,13431.84,7.75,-56.1,5.754
3.0,3.0,,False,1127,145,37.2,10998.56,9.77,-57.79,5.675
4.0,8.0,0.236,True,742,143,90.6,3845.79,5.18,-24.9,5.667
5.0,8.0,,False,519,138,54.7,8273.93,15.94,-66.4,5.469
4.0,3.0,0.5,True,742,143,60.5,5242.07,7.06,-36.88,5.215
2.0,8.0,0.5,True,1735,147,78.7,8457.14,4.87,-41.5,4.888
3.0,8.0,0.5,True,1127,145,74.5,6788.84,6.02,-41.5,4.87
4.0,8.0,,False,742,143,52.2,9747.71,13.14,-74.7,4.792
4.0,8.0,0.382,True,742,143,79.0,4879.25,6.58,-38.62,4.641
4.0,5.0,,False,742,143,43.9,8939.2,12.05,-71.32,4.602
4.0,5.0,0.5,True,742,143,65.1,5279.77,7.12,-42.93,4.518
5.0,8.0,0.5,True,519,138,71.5,4911.43,9.46,-50.79,4.243
3.0,5.0,,False,1127,145,44.0,11631.09,10.33,-84.26,4.116
2.0,5.0,,False,1735,147,43.7,14699.13,8.48,-90.1,3.92
5.0,5.0,0.5,True,519,138,65.3,4677.83,9.01,-53.0,3.873
4.0,8.0,0.5,True,742,143,71.3,5527.53,7.45,-58.1,3.493
3.0,8.0,,False,1127,145,51.5,12544.64,11.14,-107.9,3.466
2.0,8.0,,False,1735,147,52.7,16173.22,9.33,-124.5,3.121
