variante,num_trades,win_rate_pct,avg_pnl_pct,best_trade_pct,worst_trade_pct,final_capital,total_return_pct,executed_trades,skipped_trades,max_drawdown_pct
MIT Take-Profit (aktueller Live-Stand),132,83.3,5.69,18.25,-3.3,20787.13,107.87,131,1,-1.65
OHNE Take-Profit (laufen lassen),132,45.5,17.02,223.05,-3.3,30365.78,203.66,74,58,-5.04
