entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score,symbol,passive_pnl_pct
2016-10-27,long,26.742429325299906,2016-10-31,28.187633343912736,take_profit,5.4,5.1,0.33,NEM,8.16
2016-12-01,long,56.514996732356266,2016-12-15,59.97602201111404,take_profit,6.12,5.82,0.33,LLY,8.4
2016-12-22,long,71.45999908447266,2017-01-04,77.70691937255859,take_profit,8.74,8.44,0.67,VRTX,7.52
2017-01-18,long,9.420000076293944,2017-01-19,9.976959995269773,take_profit,5.91,5.61,0.33,AMD,3.42
2017-01-23,long,24.246214113183544,2017-01-24,25.090224132457532,take_profit,3.48,3.18,0.33,STX,5.05
2017-03-09,long,10.969745546896332,2017-03-30,11.970855573566775,take_profit,9.13,8.83,0.33,FCX,8.98
2017-03-20,long,25.70772232083654,2017-03-21,26.67578078868678,take_profit,3.77,3.47,0.33,NEM,3.67
2017-06-30,long,16.34753425071483,2017-07-10,17.484192215670475,take_profit,6.95,6.65,0.33,HWM,7.38
2017-08-04,long,26.5919931474948,2017-08-07,27.76106406323146,take_profit,4.4,4.1,0.34,MU,4.54
2017-08-10,long,22.121321662531457,2017-09-15,23.55612435226114,take_profit,6.49,6.19,0.33,STX,6.17
2017-08-24,long,48.41390738610174,2017-09-14,52.819559998280766,take_profit,9.1,8.8,0.66,SLB,8.77
2017-10-20,long,98.8207039996438,2017-10-25,95.85608287965448,stop_loss,-3.0,-3.3,0.66,GE,-3.01
2017-11-06,long,125.8967801255128,2017-11-08,131.62836177320403,take_profit,4.55,4.25,0.33,MCK,3.84
2017-11-14,long,50.87837310064564,2017-11-29,53.56675422695461,take_profit,5.28,4.98,0.66,GILD,4.87
2017-12-20,long,77.62571374439698,2018-01-05,84.04181148956401,take_profit,8.27,7.97,0.33,GE,7.23
2018-02-09,long,129.22747037155142,2018-02-12,135.20556677630302,take_profit,4.63,4.33,0.34,AMGN,3.63
2018-02-09,long,40.06832265208281,2018-04-20,38.86627297252033,stop_loss,-3.0,-3.3,0.67,WELL,-3.4
2018-02-09,long,126.66666412353516,2018-02-12,132.33066592407226,take_profit,4.47,4.17,0.33,ISRG,4.57
2018-02-09,long,64.06914703675122,2018-03-12,69.55198760097089,take_profit,8.56,8.26,0.33,GE,6.69
2018-03-05,long,314.93761068418894,2018-03-06,332.0104033696528,take_profit,5.42,5.12,0.34,EQIX,5.32
2018-03-23,long,60.457405506783246,2018-03-29,63.7406567001254,take_profit,5.43,5.13,0.66,PG,4.28
2018-04-02,long,70.8569823163594,2018-04-04,74.72958935486923,take_profit,5.47,5.17,0.33,LOW,5.69
2018-04-04,long,27.121999740600582,2018-04-05,28.603135520935055,take_profit,5.46,5.16,0.66,NFLX,8.09
2018-04-04,long,9.180253766954662,2018-04-05,9.605283197631014,take_profit,4.63,4.33,0.33,KLAC,4.6
2018-04-06,long,9.5,2018-04-17,10.283519927978515,take_profit,8.25,7.95,0.33,AMD,10.44
2018-04-06,long,19.49986686475965,2018-04-10,20.545627169006842,take_profit,5.36,5.06,0.33,MRVL,4.69
2018-04-06,long,16.004375457763672,2018-04-10,16.671665313720702,take_profit,4.17,3.87,0.67,ANET,4.04
2018-04-13,long,24.474138854625444,2018-04-27,23.73991468898668,stop_loss,-3.0,-3.3,0.33,CMCSA,-3.52
2018-04-18,long,39.80937229254675,2018-05-08,42.76844212690842,take_profit,7.43,7.13,0.67,WFC,6.33
2018-05-01,long,119.98135508420856,2018-05-09,127.88261496849503,take_profit,6.59,6.29,0.33,MMM,5.96
2018-05-03,long,35.40423303181672,2018-05-04,36.528332883311954,take_profit,3.18,2.88,0.33,USB,2.12
