max_concurrent_positions,final_capital,total_return_pct,executed_trades,skipped_trades,max_drawdown_pct
3,74666.11,646.66,354,165,-1.32
5,120959.83,1109.6,426,93,-1.65
8,160052.62,1500.53,469,50,-1.9
unbegrenzt,177555.58,1675.56,483,36,-2.52
