signal_time,entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score
1981-02-13,1981-02-18,long,0.093003295361995697,1981-02-19,0.090213196501135823,stop_loss,-3,-3.2999999999999998,0.33000000000000002
1982-01-13,1982-01-14,long,0.063992716372012995,1982-01-21,0.070674581853203272,take_profit,10.44,10.140000000000001,0.66000000000000003
1982-07-08,1982-07-12,long,0.039675392210483502,1982-07-20,0.047497977599911999,take_profit,19.719999999999999,19.420000000000002,0.66000000000000003
1983-08-04,1983-08-05,long,0.1156141832470893,1983-08-17,0.11214575774967663,stop_loss,-3,-3.2999999999999998,0.33000000000000002
1985-03-15,1985-03-18,long,0.078071795403957298,1985-03-19,0.075729641541838574,stop_loss,-3,-3.2999999999999998,0.34000000000000002
1985-06-03,1985-06-04,long,0.058873590081930098,1985-06-07,0.057107382379472195,stop_loss,-3,-3.2999999999999998,0.33000000000000002
1990-08-23,1990-08-24,long,0.25025808811187739,1990-08-28,0.26945109820952168,take_profit,7.6699999999999999,7.3700000000000001,0.33000000000000002
1990-10-04,1990-10-05,long,0.19738686084747309,1990-10-10,0.19146525502204889,stop_loss,-3,-3.2999999999999998,0.34000000000000002
1991-06-20,1991-06-25,long,0.30112177133560181,1991-06-28,0.29208811819553376,stop_loss,-3,-3.2999999999999998,0.67000000000000004
1993-02-24,1993-02-25,long,0.3951463103294372,1993-02-26,0.38329192101955406,stop_loss,-3,-3.2999999999999998,0.67000000000000004
1993-12-23,1993-12-27,long,0.2077736109495163,1994-01-05,0.23109630554053959,take_profit,11.23,10.93,0.66000000000000003
1994-12-02,1994-12-06,long,0.27769950032234192,1994-12-07,0.26936851531267164,stop_loss,-3,-3.2999999999999998,0.33000000000000002
1995-09-27,1995-09-28,long,0.2813959121704101,1995-10-04,0.27295403480529778,stop_loss,-3,-3.2999999999999998,0.33000000000000002
1996-07-16,1996-07-17,long,0.12618161737918851,1996-07-18,0.15331728583117535,take_profit,21.510000000000002,21.210000000000001,0.33000000000000002
1997-01-16,1997-01-22,long,0.1285181045532226,1997-01-27,0.12466256141662592,stop_loss,-3,-3.2999999999999998,0.66000000000000003
1997-07-03,1997-07-07,long,0.1032817736268043,1997-07-10,0.10018332041800017,stop_loss,-3,-3.2999999999999998,0.33000000000000002
1997-07-10,1997-07-11,long,0.11356340348720551,1997-07-17,0.12713126734256527,take_profit,11.949999999999999,11.65,1
1997-12-15,1997-12-17,long,0.1042163893580436,1997-12-19,0.1010898976773023,stop_loss,-3,-3.2999999999999998,0.67000000000000004
2000-05-30,2000-05-31,long,0.62810212373733521,2000-06-01,0.60925906002521513,stop_loss,-3,-3.2999999999999998,0.33000000000000002
2001-06-12,2001-06-13,long,0.3061253130435943,2001-06-14,0.29694155365228647,stop_loss,-3,-3.2999999999999998,0.34000000000000002
2002-06-24,2002-06-25,long,0.25632521510124201,2002-06-26,0.24863545864820474,stop_loss,-3,-3.2999999999999998,0.33000000000000002
2002-08-05,2002-08-06,long,0.22043377161026001,2002-09-03,0.2138207584619522,stop_loss,-3,-3.2999999999999998,0.33000000000000002
2008-01-28,2008-01-29,long,3.9343123435974121,2008-02-06,3.8162829732894896,stop_loss,-3,-3.2999999999999998,0.66000000000000003
2008-10-06,2008-10-07,long,2.6667435169219971,2008-10-08,2.5867412114143371,stop_loss,-3,-3.2999999999999998,0.67000000000000004
2008-11-21,2008-11-24,long,2.7801008224487305,2008-11-25,2.6966977977752684,stop_loss,-3,-3.2999999999999998,0.33000000000000002
2009-01-20,2009-01-21,long,2.4774148464202881,2009-01-28,2.7676225645000021,take_profit,11.710000000000001,11.41,0.33000000000000002
2016-01-28,2016-01-29,long,21.887557983398441,2016-02-02,21.230931243896489,stop_loss,-3,-3.2999999999999998,0.33000000000000002
2018-12-10,2018-12-11,long,39.975852966308594,2018-12-17,38.776577377319335,stop_loss,-3,-3.2999999999999998,1
2021-03-08,2021-03-09,long,117.73102569580078,2021-04-09,128.37674929031431,take_profit,9.0399999999999991,8.7400000000000002,0.34000000000000002
2023-01-03,2023-01-09,long,127.86767578125,2023-01-23,137.90697544839097,take_profit,7.8499999999999996,7.5499999999999998,0.33000000000000002
2025-04-10,2025-04-11,long,196.93867492675781,2025-04-21,191.03051467895509,stop_loss,-3,-3.2999999999999998,0.67000000000000004
