entry_time,entry_price,exit_time,exit_price,result,pnl_pct,holding_days
2018-04-15,8355,2018-04-30,9246.0100000000002,time_exit,10.359999999999999,15
2018-07-17,7317.4399999999996,2018-08-01,7604.5799999999999,time_exit,3.6200000000000001,15
2018-08-27,6908.6400000000003,2018-09-06,6355.948800000001,stop_loss,-8.3000000000000007,10
2019-02-08,3659.04,2019-02-23,4117.7600000000002,time_exit,12.24,15
2019-03-16,4005.98,2019-03-31,4103.9499999999998,time_exit,2.1499999999999999,15
2019-04-02,4857.29,2019-04-17,5202.8199999999997,time_exit,6.8099999999999996,15
2019-10-26,9230,2019-11-10,9039.4699999999993,time_exit,-2.3599999999999999,15
2020-01-06,7758,2020-01-21,8736.0300000000007,time_exit,12.31,15
2020-06-01,10200.77,2020-06-02,9384.7084000000013,stop_loss,-8.3000000000000007,1
2020-07-22,9518.1599999999999,2020-08-06,11762.459999999999,time_exit,23.280000000000001,15
2020-10-10,11293.219999999999,2020-10-25,13028.83,time_exit,15.07,15
2021-04-13,63575,2021-04-18,58489,stop_loss,-8.3000000000000007,5
2021-09-06,52663.900000000001,2021-09-07,48450.788,stop_loss,-8.3000000000000007,1
2021-11-08,67525.830000000002,2021-11-16,62123.763600000006,stop_loss,-8.3000000000000007,8
2022-03-24,43991.459999999999,2022-04-08,42252.010000000002,time_exit,-4.25,15
2022-05-30,31734.220000000001,2022-06-10,29195.482400000001,stop_loss,-8.3000000000000007,11
2022-10-04,20337.82,2022-10-13,18710.794399999999,stop_loss,-8.3000000000000007,9
2022-10-25,20080.07,2022-11-08,18473.664400000001,stop_loss,-8.3000000000000007,14
2022-12-13,17774.700000000001,2022-12-19,16352.724000000002,stop_loss,-8.3000000000000007,6
2023-01-08,17127.830000000002,2023-01-23,22916.450000000001,time_exit,33.5,15
2023-04-10,29637.34,2023-04-21,27266.352800000001,stop_loss,-8.3000000000000007,11
2023-05-28,28065,2023-06-05,25819.800000000003,stop_loss,-8.3000000000000007,8
2023-06-20,28307.990000000002,2023-07-05,30504.810000000001,time_exit,7.46,15
2023-07-13,31454.23,2023-07-24,28937.891600000003,stop_loss,-8.3000000000000007,11
2024-01-02,44946.910000000003,2024-01-03,41351.157200000001,stop_loss,-8.3000000000000007,1
2024-01-08,46951.040000000001,2024-01-12,43194.9568,stop_loss,-8.3000000000000007,4
2024-05-15,66206.5,2024-05-30,68352.169999999998,time_exit,2.9399999999999999,15
2024-11-06,75571.990000000005,2024-11-21,98317.119999999995,time_exit,29.800000000000001,15
2024-12-15,104463.99000000001,2024-12-19,96106.870800000004,stop_loss,-8.3000000000000007,4
2025-01-06,102235.60000000001,2025-01-08,94056.752000000008,stop_loss,-8.3000000000000007,2
2025-01-17,104077.48,2025-02-01,100635.64999999999,time_exit,-3.6099999999999999,15
2025-08-13,123306.42999999999,2025-08-19,113441.91559999999,stop_loss,-8.3000000000000007,6
2025-09-12,116029.42,2025-09-27,109635.85000000001,time_exit,-5.8099999999999996,15
2026-01-02,89995.130000000005,2026-01-17,95147.770000000004,time_exit,5.4299999999999997,15
2026-03-04,72666.770000000004,2026-03-08,66853.428400000004,stop_loss,-8.3000000000000007,4
2026-05-05,80905.520000000004,2026-05-20,77552.229999999996,time_exit,-4.4400000000000004,15
2026-07-21,66556.160000000003,2026-08-05,64665.230000000003,time_exit,-3.1400000000000001,15
2026-08-19,69334.789999999994,2026-09-03,81270.369999999995,time_exit,16.91,15
