entry_time,entry_price,exit_time,exit_price,result,pnl_pct,holding_days,rsi_at_entry
1982-12-13,0.097695842385291998,1982-12-16,0.098122388124465901,sma_exit,0.14000000000000001,3,3.6899999999999999
1983-01-03,0.097269214689731598,1983-01-04,0.1028156876564025,sma_exit,5.4000000000000004,1,2.3399999999999999
1983-03-08,0.1446240544319152,1983-03-15,0.13739285171031942,stop_loss,-5.2999999999999998,7,2.4300000000000002
1983-04-07,0.13523830473423001,1983-04-11,0.14206443727016449,sma_exit,4.75,4,3.5099999999999998
1983-06-13,0.19539168477058411,1983-06-15,0.18562210053205488,stop_loss,-5.2999999999999998,2,3.6499999999999999
1983-06-28,0.15998215973377219,1983-07-01,0.1680881679058075,sma_exit,4.7699999999999996,3,2.29
1983-07-15,0.15145029127597809,1983-07-20,0.14387777671217919,stop_loss,-5.2999999999999998,5,4.04
1984-05-17,0.099402166903018896,1984-05-21,0.1087879762053489,sma_exit,9.1400000000000006,4,3.71
1984-06-26,0.088736586272716494,1984-06-27,0.084299756959080666,stop_loss,-5.2999999999999998,1,2.9700000000000002
1986-01-24,0.077217839658260304,1986-01-29,0.080631352961063302,sma_exit,4.1200000000000001,5,4.1299999999999999
1986-04-04,0.091296926140785203,1986-04-07,0.093003295361995697,sma_exit,1.5700000000000001,3,3.1899999999999999
1986-07-18,0.1083613783121109,1986-07-21,0.1143344789743423,sma_exit,5.21,3,4.0099999999999998
1986-09-29,0.1109209731221199,1986-10-01,0.11646741628646851,sma_exit,4.7000000000000002,2,4.8399999999999999
1986-12-29,0.138225108385086,1987-01-02,0.13950496912002561,sma_exit,0.63,4,2.8399999999999999
1987-05-11,0.26319783926010132,1987-05-13,0.26832464337348938,sma_exit,1.6499999999999999,2,4.6799999999999997
1987-07-08,0.2546522319316864,1987-07-13,0.2768702507019043,sma_exit,8.4199999999999999,5,3.96
1987-09-08,0.34140202403068542,1987-09-09,0.36108130216598511,sma_exit,5.46,1,4.5199999999999996
1987-10-12,0.36450356245040888,1987-10-13,0.37306025624275208,sma_exit,2.0499999999999998,1,3.2200000000000002
1987-10-16,0.33027857542037958,1987-10-19,0.3137646466493606,stop_loss,-5.2999999999999998,3,3.23
1988-07-12,0.30820268392562861,1988-07-14,0.30992430448532099,sma_exit,0.26000000000000001,2,4.1799999999999997
1988-07-21,0.29614990949630737,1988-07-29,0.30561921000480652,sma_exit,2.8999999999999999,8,4
1988-08-09,0.29959341883659357,1988-08-15,0.2846137478947639,stop_loss,-5.2999999999999998,6,4.0300000000000002
1989-06-20,0.29896515607833862,1989-06-23,0.30504828691482538,sma_exit,1.73,3,4.71
1989-06-29,0.2824520468711853,1989-07-06,0.28679782152175898,sma_exit,1.24,7,3.3100000000000001
1989-08-14,0.2833210825920105,1989-08-18,0.29375022649765009,sma_exit,3.3799999999999999,4,4.1500000000000004
1989-11-27,0.30739876627922058,1989-11-30,0.3091452419757843,sma_exit,0.27000000000000002,3,4.7300000000000004
1990-07-17,0.3110015988349914,1990-07-19,0.29545151889324184,stop_loss,-5.2999999999999998,2,4.5099999999999998
1990-07-20,0.28815954923629761,1990-07-25,0.29694518446922302,sma_exit,2.75,5,4.1500000000000004
1991-04-30,0.38983869552612299,1991-05-01,0.37034676074981682,stop_loss,-5.2999999999999998,1,1.6399999999999999
1991-09-04,0.36679103970527649,1991-09-09,0.37925475835800171,sma_exit,3.1000000000000001,5,2.8399999999999999
1992-02-11,0.44888308644294739,1992-02-12,0.46583831310272211,sma_exit,3.48,1,4.8799999999999999
1992-03-04,0.46492195129394531,1992-03-12,0.441675853729248,stop_loss,-5.2999999999999998,8,4.3799999999999999
1992-03-30,0.41574719548225397,1992-04-03,0.42200630903244019,sma_exit,1.21,4,2.8199999999999998
1992-05-19,0.42468830943107599,1992-05-27,0.4309464693069458,sma_exit,1.1699999999999999,8,3.1600000000000001
1992-12-16,0.39608663320541382,1992-12-17,0.40959054231643671,sma_exit,3.1099999999999999,1,2.2999999999999998
1993-02-05,0.41229093074798578,1993-02-12,0.39167638421058648,stop_loss,-5.2999999999999998,7,4.0199999999999996
1993-02-16,0.38251611590385431,1993-02-18,0.3969504833221435,sma_exit,3.4700000000000002,2,1.3799999999999999
1993-03-19,0.38792940974235529,1993-03-24,0.38792940974235529,sma_exit,-0.29999999999999999,5,3.4500000000000002
1993-06-04,0.39687642455101008,1993-06-07,0.37703260332345956,stop_loss,-5.2999999999999998,3,3.6499999999999999
1994-03-21,0.25973585247993469,1994-03-25,0.24674905985593795,stop_loss,-5.2999999999999998,4,2.6299999999999999
1994-04-12,0.2341280579566955,1994-04-14,0.22242165505886072,stop_loss,-5.2999999999999998,2,2.8999999999999999
1994-11-21,0.28185874223709101,1994-11-28,0.27954861521720881,sma_exit,-1.1200000000000001,7,4.5199999999999996
1995-01-25,0.302997887134552,1995-01-31,0.29849275946617121,sma_exit,-1.79,6,3.1499999999999999
1995-02-23,0.29792338609695429,1995-02-27,0.28302721679210657,stop_loss,-5.2999999999999998,4,3.5800000000000001
1995-05-30,0.31222358345985413,1995-06-02,0.31315264105796808,sma_exit,-0,3,4.04
1996-12-11,0.1794580072164535,1996-12-16,0.17048510685563081,stop_loss,-5.2999999999999998,5,2.9700000000000002
1997-08-26,0.16637255251407621,1997-09-02,0.16730719804763791,sma_exit,0.26000000000000001,7,3.6899999999999999
1998-01-30,0.13692960143089289,1998-02-02,0.13008312135934824,stop_loss,-5.2999999999999998,3,4.9900000000000002
1998-04-06,0.19628199934959409,1998-04-07,0.18646789938211439,stop_loss,-5.2999999999999998,1,2.8500000000000001
1998-04-08,0.1869349479675293,1998-04-13,0.1976838409900665,sma_exit,5.4500000000000002,5,0.64000000000000001
1998-05-18,0.21310590207576749,1998-05-20,0.2210509777069091,sma_exit,3.4300000000000002,2,4.1900000000000004
