entry_time,entry_price,exit_time,exit_price,result,pnl_pct,holding_days
1981-12-16,0.066553026437759399,1982-01-08,0.067832820117473602,time_exit,1.6200000000000001,23
1982-10-06,0.069112554192543002,1982-10-27,0.085750445723533603,time_exit,23.77,21
1983-01-17,0.11646741628646851,1983-02-07,0.14419752359390259,time_exit,23.510000000000002,21
1983-04-18,0.16040875017642969,1983-05-09,0.18558001518249509,time_exit,15.390000000000001,21
1983-12-13,0.076791234314441598,1984-01-05,0.096416033804416601,time_exit,25.260000000000002,23
1984-04-17,0.093856491148471805,1984-05-09,0.1130539029836654,time_exit,20.149999999999999,22
1985-09-12,0.055034253746271099,1985-09-16,0.052282541058957542,stop_loss,-5.2999999999999998,4
1985-09-18,0.055460840463638299,1985-10-04,0.052687798440456381,stop_loss,-5.2999999999999998,16
1985-12-16,0.071245513856410897,1986-01-08,0.078071795403957298,time_exit,9.2799999999999994,23
1986-02-19,0.085323877632617895,1986-03-12,0.084470681846141801,time_exit,-1.3,21
1986-03-18,0.091723509132861994,1986-04-09,0.092576712369918795,time_exit,0.63,22
1986-04-17,0.098975606262683799,1986-04-29,0.0940268259495496,stop_loss,-5.2999999999999998,12
1986-11-03,0.11945363879203789,1986-11-24,0.1296925395727157,time_exit,8.2699999999999996,21
1987-01-07,0.15273007750511169,1987-01-28,0.18899266421794891,time_exit,23.440000000000001,21
1987-04-02,0.2448803037405014,1987-04-07,0.23263628855347632,stop_loss,-5.2999999999999998,5
1987-06-16,0.28370711207389832,1987-07-07,0.26952175647020338,stop_loss,-5.2999999999999998,21
1987-09-23,0.378194659948349,1987-10-12,0.3592849269509315,stop_loss,-5.2999999999999998,19
1988-02-22,0.2972834706306457,1988-03-14,0.31790372729301453,time_exit,6.6399999999999997,21
1988-07-05,0.32542017102241511,1988-07-11,0.30914916247129431,stop_loss,-5.2999999999999998,6
1989-04-06,0.24974919855594629,1989-04-27,0.27316325902938843,time_exit,9.0800000000000001,21
1989-08-04,0.29722625017166138,1989-08-14,0.2823649376630783,stop_loss,-5.2999999999999998,10
1989-10-06,0.33539146184921259,1989-10-13,0.31862188875675196,stop_loss,-5.2999999999999998,7
1990-03-06,0.24706155061721799,1990-03-27,0.29437142610549921,time_exit,18.850000000000001,21
1990-04-16,0.30663692951202393,1990-04-19,0.29130508303642272,stop_loss,-5.2999999999999998,3
1990-12-05,0.28380820155143738,1990-12-27,0.3076799213886261,time_exit,8.1099999999999994,22
1991-01-10,0.33331981301307678,1991-01-31,0.39255726337432861,time_exit,17.469999999999999,21
1991-03-05,0.44742903113365168,1991-03-26,0.496159017086029,time_exit,10.59,21
1991-04-02,0.51565104722976685,1991-04-05,0.48986849486827849,stop_loss,-5.2999999999999998,3
1991-07-08,0.33221134543418879,1991-07-16,0.31560077816247933,stop_loss,-5.2999999999999998,8
1991-08-01,0.34908810257911682,1991-08-22,0.38637730479240417,time_exit,10.380000000000001,21
1991-10-15,0.37391364574432367,1991-10-30,0.35521796345710749,stop_loss,-5.2999999999999998,15
1991-12-26,0.39176815748214722,1992-01-17,0.46226903796195978,time_exit,17.699999999999999,22
1992-02-25,0.48995602130889893,1992-03-04,0.46545822024345396,stop_loss,-5.2999999999999998,8
1992-08-31,0.33056938648223871,1992-09-22,0.3287729024887085,time_exit,-0.83999999999999997,22
1992-10-16,0.35212841629981989,1992-11-06,0.4006359875202179,time_exit,13.48,21
