trade_zeile,symbol,entry_time,exit_time,result,pnl_pct,entry_price,exit_price,kerzen,ausgefuehrt,allocation,capital_after
0,NEM,2016-10-28,2016-11-11,stop_loss,-3.3,27.70563125610352,26.874462318420413,11,True,1000.0,9967.0
1,VRTX,2016-12-27,2017-05-08,time_exit,52.73,75.19000244140625,115.05999755859376,91,True,996.7,10426.89
2,AMD,2017-01-19,2017-05-30,time_exit,13.52,9.770000457763672,11.119999885559082,91,True,996.7,10561.64
3,STX,2017-01-24,2017-06-02,time_exit,16.71,25.542442321777344,29.887428283691406,91,True,996.7,10728.19
4,FCX,2017-03-13,2017-03-14,stop_loss,-3.3,11.311984062194824,10.97262454032898,2,True,996.7,9934.11
5,NEM,2017-03-22,2017-03-28,stop_loss,-3.3,26.579572677612305,25.782185497283933,5,True,993.41,9901.33
6,HWM,2017-07-06,2017-11-10,time_exit,5.97,16.931106567382812,17.99207305908203,91,True,1072.82,10686.38
7,MU,2017-08-08,2017-08-10,stop_loss,-3.3,28.12295913696289,27.279270362854003,3,True,1072.82,10692.79
8,STX,2017-08-11,2017-08-18,stop_loss,-3.3,22.66891860961914,21.988851051330567,6,True,1069.28,10657.5
9,GE,2017-10-23,2017-10-25,stop_loss,-3.3,99.80445861816406,96.81032485961914,3,True,1065.75,10622.33
10,MCK,2017-11-08,2017-11-13,stop_loss,-3.3,131.10902404785156,127.17575332641601,4,True,1062.23,10651.32
13,GE,2018-02-12,2018-02-26,stop_loss,-3.3,66.72557067871094,64.7238035583496,10,True,1065.13,10581.02
12,AMGN,2018-02-12,2018-03-28,stop_loss,-3.3,134.31210327148438,130.28274017333985,32,True,1065.13,10545.88
11,ISRG,2018-02-12,2018-06-21,time_exit,21.93,132.836669921875,162.36000061035156,91,True,1065.13,10537.22
14,WELL,2018-02-15,2018-02-22,stop_loss,-3.3,41.852142333984375,40.59657806396484,5,True,1065.13,10616.17
15,EQIX,2018-03-06,2018-07-13,time_exit,13.6,332.62994384765625,378.8576965332031,91,True,1058.1,10612.35
16,PG,2018-03-29,2018-04-19,stop_loss,-3.3,63.22467422485352,61.327933998107916,15,True,1054.59,10406.9
17,LOW,2018-04-04,2018-04-09,stop_loss,-3.3,75.10432434082031,72.8511946105957,4,True,1054.59,10476.27
18,KLAC,2018-04-05,2018-04-06,stop_loss,-3.3,9.63027572631836,9.341367454528807,2,True,1054.59,10511.07
19,NFLX,2018-04-05,2018-08-13,time_exit,15.8,29.39699935913086,34.13100051879883,91,True,1054.59,10778.98
21,MRVL,2018-04-10,2018-04-20,stop_loss,-3.3,20.472002029418945,19.857841968536377,9,True,1047.63,10372.33
20,AMD,2018-04-10,2018-04-25,stop_loss,-3.3,9.979999542236328,9.680599555969238,12,True,1047.63,10337.76
22,ANET,2018-04-11,2018-04-13,stop_loss,-3.3,16.6612491607666,16.1614116859436,3,True,1047.63,10441.7
23,WFC,2018-04-20,2018-08-28,time_exit,13.76,41.631126403808594,47.48471450805664,91,True,1037.23,10851.66
24,MMM,2018-05-08,2018-06-25,stop_loss,-3.3,126.43665313720705,122.64355354309083,34,True,1033.78,10503.11
25,BMY,2018-05-14,2018-06-04,stop_loss,-3.3,38.319095611572266,37.169522743225095,15,True,1033.78,10303.64
26,MNST,2018-05-21,2018-09-27,time_exit,16.55,24.95499992370605,29.15999984741211,91,True,1033.78,10951.71
27,HWM,2018-06-27,2018-11-02,time_exit,25.19,12.657413482666016,15.88316822052002,91,True,1050.31,11001.55
28,LRCX,2018-06-29,2018-07-03,stop_loss,-3.3,15.51820945739746,15.052663173675535,3,True,1050.31,10468.45
29,AVGO,2018-07-19,2018-08-15,stop_loss,-3.3,17.056116104125977,16.544432621002198,20,True,1061.24,10708.94
30,PM,2018-07-20,2018-08-13,stop_loss,-3.3,55.96821975708008,54.289173164367675,17,True,1061.24,10743.96
31,SCHW,2018-08-27,2018-09-06,stop_loss,-3.3,45.924560546875,44.54682373046875,8,True,1070.89,10816.32
32,TSLA,2018-09-06,2018-09-07,stop_loss,-3.3,18.729999542236328,18.16809955596924,2,True,1081.63,10780.63
33,WDC,2018-09-13,2018-10-09,stop_loss,-3.3,39.88257598876953,38.686098709106446,19,True,1078.06,10916.14
34,AMD,2018-10-09,2018-10-10,stop_loss,-3.3,27.239999771118164,26.42279977798462,2,True,1091.61,10880.12
