trade_zeile,symbol,entry_time,exit_time,result,pnl_pct,entry_price,exit_price,kerzen,ausgefuehrt
0,AAVEUSDT,2022-03-17,2022-03-18,stop_loss,-5.3,155.6,147.82,2,True
1,TRXUSDT,2022-03-22,2022-04-06,time_exit,-0.87,0.06344,0.06308,16,True
2,ADAUSDT,2022-03-22,2022-04-06,time_exit,7.6,0.975,1.052,16,True
3,DOGEUSDT,2022-03-23,2022-04-07,time_exit,12.1,0.1298,0.1459,16,True
4,NEARUSDT,2022-03-23,2022-04-07,time_exit,39.35,12.493,17.447,16,True
5,UNIUSDT,2022-03-24,2022-04-06,stop_loss,-5.3,10.79,10.250499999999999,14,True
6,SOLUSDT,2022-03-24,2022-03-25,stop_loss,-5.3,102.32,97.204,2,True
7,BTCUSDT,2022-03-24,2022-04-08,time_exit,-4.25,43991.46,42252.01,16,True
8,BNBUSDT,2022-03-27,2022-04-11,stop_loss,-5.3,430.5,408.97499999999997,16,True
9,NEARUSDT,2022-08-05,2022-08-06,stop_loss,-5.3,5.196,4.9361999999999995,2,True
10,ZECUSDT,2022-08-05,2022-08-19,stop_loss,-5.3,69.1,65.645,15,True
11,AAVEUSDT,2022-08-10,2022-08-12,stop_loss,-5.3,111.1,105.54499999999999,3,True
12,SOLUSDT,2022-08-12,2022-08-15,stop_loss,-5.3,45.48,43.205999999999996,4,True
13,ADAUSDT,2022-08-13,2022-08-17,stop_loss,-5.3,0.5593,0.531335,5,True
14,DOGEUSDT,2022-08-14,2022-08-15,stop_loss,-5.3,0.08168,0.077596,2,True
15,SOLUSDT,2022-09-12,2022-09-13,stop_loss,-5.3,37.44,35.568,2,True
16,NEARUSDT,2022-11-04,2022-11-06,stop_loss,-5.3,3.307,3.14165,3,True
17,XRPUSDT,2022-11-04,2022-11-06,stop_loss,-5.3,0.5064,0.48107999999999995,3,True
18,AAVEUSDT,2022-11-04,2022-11-06,stop_loss,-5.3,94.6,89.86999999999999,3,True
19,LINKUSDT,2023-01-11,2023-01-26,time_exit,13.78,6.284,7.169,16,True
20,XRPUSDT,2023-01-11,2023-01-26,time_exit,9.46,0.3728,0.4092,16,True
21,DOGEUSDT,2023-01-31,2023-02-01,stop_loss,-5.3,0.09612,0.09131399999999999,2,True
22,BNBUSDT,2023-02-02,2023-02-09,stop_loss,-5.3,323.5,307.325,8,True
23,LINKUSDT,2023-02-17,2023-02-24,stop_loss,-5.3,7.65,7.2675,8,True
24,ZECUSDT,2023-02-20,2023-02-21,stop_loss,-5.3,50.3,47.785,2,True
25,ADAUSDT,2023-03-21,2023-03-22,stop_loss,-5.3,0.3696,0.35112,2,True
26,XRPUSDT,2023-03-21,2023-03-22,stop_loss,-5.3,0.4696,0.44612,2,True
27,DOGEUSDT,2023-04-01,2023-04-02,stop_loss,-5.3,0.08181,0.0777195,2,True
28,DOGEUSDT,2023-04-03,2023-04-05,stop_loss,-5.3,0.096,0.0912,3,True
29,ETHUSDT,2023-04-04,2023-04-19,time_exit,3.09,1870.37,1933.73,16,True
30,ZECUSDT,2023-04-09,2023-04-19,stop_loss,-5.3,39.8,37.809999999999995,11,True
31,BTCUSDT,2023-04-10,2023-04-20,stop_loss,-5.3,29637.34,28155.472999999998,11,True
32,SOLUSDT,2023-04-11,2023-04-19,stop_loss,-5.3,22.98,21.831,9,True
33,NEARUSDT,2023-04-12,2023-04-19,stop_loss,-5.3,2.226,2.1147,8,True
34,ADAUSDT,2023-04-13,2023-04-20,stop_loss,-5.3,0.4251,0.40384499999999995,8,True
35,BNBUSDT,2023-04-14,2023-04-29,time_exit,-2.43,328.9,321.9,16,True
36,LINKUSDT,2023-04-14,2023-04-21,stop_loss,-5.3,7.743,7.35585,8,True
37,BTCUSDT,2023-06-20,2023-07-05,time_exit,7.46,28307.99,30504.81,16,True
38,TRXUSDT,2023-06-30,2023-07-15,time_exit,5.76,0.0762,0.08082,16,True
39,ETHUSDT,2023-07-13,2023-07-14,stop_loss,-5.3,2004.49,1904.2655,2,True
40,BTCUSDT,2023-07-13,2023-07-17,stop_loss,-5.3,31454.23,29881.5185,5,True
41,ADAUSDT,2023-07-13,2023-07-14,stop_loss,-5.3,0.3567,0.338865,2,True
42,DOGEUSDT,2023-07-13,2023-07-14,stop_loss,-5.3,0.07042,0.066899,2,True
43,LINKUSDT,2023-07-13,2023-07-14,stop_loss,-5.3,7.124,6.767799999999999,2,True
44,XRPUSDT,2023-07-13,2023-07-14,stop_loss,-5.3,0.8153,0.774535,2,True
45,DOGEUSDT,2023-07-15,2023-07-17,stop_loss,-5.3,0.07197,0.0683715,3,True
46,DOGEUSDT,2023-07-21,2023-08-05,time_exit,3.1,0.07322,0.07571,16,True
47,TRXUSDT,2023-07-22,2023-07-30,stop_loss,-5.3,0.0839,0.079705,9,True
48,DOGEUSDT,2023-10-01,2023-10-04,stop_loss,-5.3,0.06319,0.060030499999999994,4,True
49,NEARUSDT,2023-10-01,2023-10-02,stop_loss,-5.3,1.16,1.1019999999999999,2,True
50,ADAUSDT,2023-10-01,2023-10-04,stop_loss,-5.3,0.2659,0.252605,4,True
51,UNIUSDT,2023-10-01,2023-10-02,stop_loss,-5.3,4.653,4.420349999999999,2,True
52,XRPUSDT,2023-10-03,2023-10-09,stop_loss,-5.3,0.539,0.51205,7,True
53,SOLUSDT,2023-10-19,2023-11-03,time_exit,57.94,24.93,39.45,16,True
54,LINKUSDT,2023-10-21,2023-11-05,time_exit,36.91,8.914,12.231,16,True
55,AAVEUSDT,2023-10-21,2023-11-05,time_exit,26.86,70.06,89.09,16,True
56,PROMUSDT,2023-10-23,2023-11-07,time_exit,3.3,4.279,4.433,16,True
57,DOGEUSDT,2023-10-23,2023-11-07,time_exit,8.54,0.06742,0.07338,16,True
58,PEPEUSDT,2023-10-23,2023-10-24,stop_loss,-5.3,1e-06,9.499999999999999e-07,2,True
59,UNIUSDT,2023-11-01,2023-11-02,stop_loss,-5.3,4.795,4.55525,2,True
60,PROMUSDT,2023-11-10,2023-11-14,stop_loss,-5.3,4.509,4.28355,5,True
61,PEPEUSDT,2023-12-04,2023-12-13,stop_loss,-5.3,1.39e-06,1.3204999999999999e-06,10,True
62,XRPUSDT,2023-12-06,2023-12-11,stop_loss,-5.3,0.64,0.608,6,True
63,AAVEUSDT,2023-12-14,2023-12-17,stop_loss,-5.3,107.12,101.764,4,True
64,WLDUSDT,2023-12-16,2023-12-20,stop_loss,-5.3,3.812,3.6213999999999995,5,True
65,SUIUSDT,2023-12-23,2023-12-24,stop_loss,-5.3,0.7534,0.71573,2,True
66,AAVEUSDT,2023-12-27,2023-12-31,stop_loss,-5.3,112.0,106.39999999999999,5,True
67,BTCUSDT,2024-01-02,2024-01-03,stop_loss,-5.3,44946.91,42699.5645,2,True
68,BTCUSDT,2024-01-08,2024-01-10,stop_loss,-5.3,46951.04,44603.488,3,True
69,ETHUSDT,2024-01-10,2024-01-18,stop_loss,-5.3,2584.38,2455.161,9,True
