trade_zeile,symbol,entry_time,exit_time,result,pnl_pct,entry_price,exit_price,kerzen,ausgefuehrt,allocation,capital_after
0,NEARUSDT,2022-02-11,2022-02-15,sma_exit,5.74,10.854,11.51,5,True,1000.0,10057.4
1,ZECUSDT,2022-03-31,2022-04-07,sma_exit,-3.44,178.2,172.6,8,True,1005.74,10022.8
2,NEARUSDT,2022-04-17,2022-04-18,sma_exit,2.81,15.682,16.169,2,True,1002.28,10050.97
3,NEARUSDT,2022-04-24,2022-05-01,sma_exit,-21.42,15.006,11.837,8,True,1005.1,9835.67
4,TRXUSDT,2022-06-11,2022-06-18,sma_exit,-20.39,0.0762,0.06089,8,True,983.57,9635.13
5,UNIUSDT,2022-08-09,2022-08-10,sma_exit,8.94,8.44,9.22,2,True,963.51,9721.26
6,UNIUSDT,2022-08-15,2022-08-23,sma_exit,-16.36,8.47,7.11,9,True,972.13,9562.22
7,BNBUSDT,2022-10-08,2022-10-16,sma_exit,-1.71,276.4,272.5,9,True,956.22,9545.87
8,XRPUSDT,2022-10-19,2022-10-21,sma_exit,2.14,0.4504,0.4614,3,True,954.59,9566.3
9,DOGEUSDT,2022-11-07,2022-11-12,sma_exit,-21.05,0.11123,0.08815,6,True,956.63,9364.93
10,XRPUSDT,2022-11-08,2022-11-14,sma_exit,-7.27,0.4059,0.3776,7,True,956.63,9295.38
11,DOGEUSDT,2022-11-20,2022-11-23,sma_exit,6.11,0.07703,0.08197,4,True,929.54,9352.18
12,DOGEUSDT,2022-12-07,2022-12-17,time_exit,-17.6,0.09575,0.07919,11,True,935.22,9187.58
13,DOGEUSDT,2023-01-18,2023-01-20,sma_exit,7.41,0.08,0.08617,3,True,918.76,9255.66
14,TRXUSDT,2023-01-18,2023-01-20,sma_exit,6.17,0.05891,0.06272,3,True,918.76,9312.35
15,BNBUSDT,2023-01-18,2023-01-20,sma_exit,6.12,286.7,305.1,3,True,918.76,9368.57
16,ETHUSDT,2023-01-24,2023-01-25,sma_exit,3.3,1555.97,1611.94,2,True,936.86,9399.49
17,BTCUSDT,2023-02-05,2023-02-07,sma_exit,1.04,22932.91,23240.46,3,True,939.95,9409.27
18,SOLUSDT,2023-02-06,2023-02-07,sma_exit,4.82,22.66,23.82,2,True,939.95,9454.57
19,ADAUSDT,2023-02-06,2023-02-07,sma_exit,4.04,0.3823,0.3989,2,True,939.95,9492.55
20,DOGEUSDT,2023-02-09,2023-02-13,sma_exit,0.5,0.08144,0.08209,5,True,949.25,9497.29
