trade_zeile,symbol,entry_time,exit_time,result,pnl_pct,entry_price,exit_price,kerzen,ausgefuehrt
0,NEARUSDT,2022-02-11,2022-02-15,sma_exit,5.74,10.854,11.51,5,True
1,ZECUSDT,2022-03-31,2022-04-07,sma_exit,-3.44,178.2,172.6,8,True
2,NEARUSDT,2022-04-17,2022-04-18,sma_exit,2.81,15.682,16.169,2,True
3,NEARUSDT,2022-04-24,2022-05-01,sma_exit,-21.42,15.006,11.837,8,True
4,TRXUSDT,2022-06-11,2022-06-18,sma_exit,-20.39,0.0762,0.06089,8,True
5,UNIUSDT,2022-08-09,2022-08-10,sma_exit,8.94,8.44,9.22,2,True
6,UNIUSDT,2022-08-15,2022-08-23,sma_exit,-16.36,8.47,7.11,9,True
7,BNBUSDT,2022-10-08,2022-10-16,sma_exit,-1.71,276.4,272.5,9,True
8,XRPUSDT,2022-10-19,2022-10-21,sma_exit,2.14,0.4504,0.4614,3,True
9,DOGEUSDT,2022-11-07,2022-11-12,sma_exit,-21.05,0.11123,0.08815,6,True
10,XRPUSDT,2022-11-08,2022-11-14,sma_exit,-7.27,0.4059,0.3776,7,True
11,DOGEUSDT,2022-11-20,2022-11-23,sma_exit,6.11,0.07703,0.08197,4,True
12,DOGEUSDT,2022-12-07,2022-12-17,time_exit,-17.6,0.09575,0.07919,11,True
13,DOGEUSDT,2023-01-18,2023-01-20,sma_exit,7.41,0.08,0.08617,3,True
14,TRXUSDT,2023-01-18,2023-01-20,sma_exit,6.17,0.05891,0.06272,3,True
15,BNBUSDT,2023-01-18,2023-01-20,sma_exit,6.12,286.7,305.1,3,True
16,ETHUSDT,2023-01-24,2023-01-25,sma_exit,3.3,1555.97,1611.94,2,True
17,BTCUSDT,2023-02-05,2023-02-07,sma_exit,1.04,22932.91,23240.46,3,True
18,SOLUSDT,2023-02-06,2023-02-07,sma_exit,4.82,22.66,23.82,2,True
19,ADAUSDT,2023-02-06,2023-02-07,sma_exit,4.04,0.3823,0.3989,2,True
20,DOGEUSDT,2023-02-09,2023-02-13,sma_exit,0.5,0.08144,0.08209,5,True
21,BTCUSDT,2023-02-09,2023-02-13,sma_exit,-0.4,21796.35,21773.97,5,True
22,BNBUSDT,2023-02-09,2023-02-15,sma_exit,3.36,306.2,317.4,7,True
23,ETHUSDT,2023-02-10,2023-02-14,sma_exit,2.52,1513.06,1555.71,5,True
24,ADAUSDT,2023-02-10,2023-02-14,sma_exit,7.69,0.3581,0.3867,5,True
25,ADAUSDT,2023-02-23,2023-03-05,time_exit,-12.17,0.3824,0.337,11,True
26,BTCUSDT,2023-02-24,2023-02-27,sma_exit,1.02,23185.29,23492.09,4,True
27,NEARUSDT,2023-02-24,2023-03-01,sma_exit,-0.04,2.313,2.319,6,True
28,BNBUSDT,2023-02-24,2023-02-26,sma_exit,1.82,302.3,308.7,3,True
29,UNIUSDT,2023-02-24,2023-03-01,sma_exit,3.82,6.572,6.843,6,True
30,AAVEUSDT,2023-02-24,2023-03-01,sma_exit,1.29,81.6,82.9,6,True
31,TRXUSDT,2023-02-24,2023-02-26,sma_exit,2.12,0.06787,0.06951,3,True
32,ETHUSDT,2023-02-25,2023-02-26,sma_exit,2.63,1594.58,1641.36,2,True
33,SOLUSDT,2023-02-25,2023-03-07,time_exit,-9.78,22.37,20.25,11,False
34,BNBUSDT,2023-03-03,2023-03-07,sma_exit,-0.68,290.4,289.3,5,True
35,BTCUSDT,2023-03-03,2023-03-12,sma_exit,-1.9,22354.34,21997.11,10,True
36,TRXUSDT,2023-03-03,2023-03-12,sma_exit,-4.13,0.06715,0.06458,10,True
37,ETHUSDT,2023-03-08,2023-03-12,sma_exit,2.83,1532.38,1580.33,5,True
38,BNBUSDT,2023-04-03,2023-04-05,sma_exit,1.35,308.8,313.9,3,True
39,SOLUSDT,2023-04-08,2023-04-10,sma_exit,3.94,20.04,20.89,3,True
40,BTCUSDT,2023-04-17,2023-04-18,sma_exit,2.93,29430.27,30380.01,2,True
