,kapital_start,kapital_ende,gebunden,exposure,n_offen
2021-09-22,100.0,100.00220911589219,28.785575356870403,0.287855753568704,21
2021-09-23,100.00220911589219,99.96173320360096,23.777165989040824,0.23776640735491708,17
2021-09-24,99.96173320360096,99.73309967187265,19.998566909121294,0.2000622264960976,12
2021-09-25,99.73309967187265,99.62561095104962,16.248771865984626,0.16292255950576062,10
2021-09-26,99.62561095104962,99.51809673479944,13.748766766899198,0.1380043408080535,9
2021-09-27,99.51809673479944,99.53309417713416,17.475154809932576,0.17559775943566525,13
2021-09-28,99.53309417713416,99.53309417713416,26.187392428328916,0.2631023645434402,20
2021-09-29,99.53309417713416,99.52442953369037,28.67706603881956,0.2881158902564045,22
2021-09-30,99.52442953369037,99.52442953369037,26.18199236725913,0.2630710117097046,20
2021-10-01,99.52442953369037,99.4740616913486,33.61752972927788,0.33778168723788454,23
2021-10-02,99.4740616913486,99.55156169134858,27.34942314580333,0.2749402475457775,16
2021-10-03,99.55156169134858,99.55156169134858,24.84942314580333,0.2496135944391,15
2021-10-04,99.55156169134858,99.38973836286587,31.068102903545807,0.3120805176303502,19
2021-10-05,99.38973836286587,99.33968961504186,27.339795406402892,0.2750766412784685,17
2021-10-06,99.33968961504186,99.21281940911992,23.603959521131607,0.2376085491368148,14
2021-10-07,99.21281940911992,99.34669183218622,16.155770864605394,0.1628395499777553,9
2021-10-08,99.34669183218622,99.34669183218622,13.670932763345414,0.1376083341198516,7
2021-10-09,99.34669183218622,99.34669183218622,13.670932763345414,0.1376083341198516,7
2021-10-10,99.34669183218622,99.47409248160577,13.670932763345414,0.1376083341198516,7
2021-10-11,99.47409248160577,99.52322568824994,11.192420309339164,0.11251593284360759,6
2021-10-12,99.52322568824994,99.52322568824994,4.975438425085954,0.049992736777555745,3
2021-10-13,99.52322568824994,99.46421774819649,11.158404142571468,0.11211859408098816,7
2021-10-14,99.46421774819649,99.48672618456463,14.87022239389211,0.14950323574189817,9
2021-10-15,99.48672618456463,99.47675860721043,21.116330830283843,0.2122527460709632,11
2021-10-16,99.47675860721043,99.47675860721043,22.399340254970852,0.22517159353187116,10
2021-10-17,99.47675860721043,99.36975429950307,22.399340254970852,0.22517159353187116,10
2021-10-18,99.36975429950307,99.36975429950307,17.422632877206127,0.17533134704845751,8
2021-10-19,99.36975429950307,99.42377945593302,17.422632877206127,0.17533134704845751,8
2021-10-20,99.42377945593302,99.64773128793242,17.46512117428825,0.17566342045998368,7
2021-10-21,99.64773128793242,99.64773128793242,12.488413796523528,0.1253256209159265,5
2021-10-22,99.64773128793242,99.54021707168225,12.488413796523528,0.1253256209159265,5
2021-10-23,99.54021707168225,99.54021707168225,9.98835770658382,0.10034494599696189,4
2021-10-24,99.54021707168225,99.96823430251172,9.98835770658382,0.10034494599696189,4
2021-10-25,99.96823430251172,99.96823430251172,8.737084371592005,0.08739860649286754,4
