,kapital_start,kapital_ende,gebunden,exposure,n_offen
2016-10-28,100.0,99.82091674896643,61.58020550545393,0.6158020550545393,56
2016-10-29,99.82091674896643,99.82091674896643,58.602779817058604,0.5870791586139725,54
2016-10-30,99.82091674896643,99.82091674896643,58.602779817058604,0.5870791586139725,54
2016-10-31,99.82091674896643,99.7507605469541,66.82382378466798,0.6694370875466829,62
2016-11-01,99.7507605469541,99.63208287449763,73.27958168619969,0.7346267966719507,74
2016-11-02,99.63208287449763,99.60148290063137,77.80747416136933,0.7809479829843581,81
2016-11-03,99.60148290063137,99.4008003163804,78.05426847844925,0.7836657267073125,83
2016-11-04,99.4008003163804,99.235007248939,81.30623581125653,0.817963593376199,89
2016-11-05,99.235007248939,99.235007248939,72.79502352780642,0.7335619308737918,78
2016-11-06,99.235007248939,99.235007248939,72.79502352780642,0.7335619308737918,78
2016-11-07,99.235007248939,99.22275106139357,72.79502352780642,0.7335619308737918,78
2016-11-08,99.22275106139357,99.2170376680463,51.820295368192575,0.5222622313316936,59
2016-11-09,99.2170376680463,99.62930178780304,51.384772226863255,0.5179027053678318,62
2016-11-10,99.62930178780304,99.83084465269816,53.829377891096414,0.5402966489291043,59
2016-11-11,99.83084465269816,100.18452460378695,48.982819865933735,0.49065817319627236,57
2016-11-12,100.18452460378695,100.18452460378695,41.100902529670364,0.4102520094018269,53
2016-11-13,100.18452460378695,100.18452460378695,41.100902529670364,0.4102520094018269,53
2016-11-14,100.18452460378695,100.48825403628412,54.73479650031352,0.5463398335898731,62
2016-11-15,100.48825403628412,100.61116652782064,52.80284989229834,0.5254629050797557,58
2016-11-16,100.61116652782064,100.90446869012771,44.542120916167946,0.4427154803324074,43
2016-11-17,100.90446869012771,101.00249512186373,37.527043601410455,0.37190665674732426,35
2016-11-18,101.00249512186373,101.07130972787846,36.026696726897526,0.3566911558316437,32
2016-11-19,101.07130972787846,101.07130972787846,32.52820494339205,0.32183420825326264,25
2016-11-20,101.07130972787846,101.07130972787846,32.52820494339205,0.32183420825326264,25
2016-11-21,101.07130972787846,101.21858361040225,36.10380388045111,0.35721120046485966,28
2016-11-22,101.21858361040225,101.4498951321063,36.71017231380233,0.3626821380459391,29
2016-11-23,101.4498951321063,101.53215685580267,37.85705489727641,0.3731601185785319,35
2016-11-24,101.53215685580267,101.53215685580267,34.35820656140816,0.3383972883606141,28
2016-11-25,101.53215685580267,101.650685048398,34.875131083347846,0.34348852780580613,29
2016-11-26,101.650685048398,101.650685048398,33.874390473154314,0.3332431105311884,27
2016-11-27,101.650685048398,101.650685048398,33.874390473154314,0.3332431105311884,27
2016-11-28,101.650685048398,101.70994914469566,36.91528715217696,0.3631582722202101,30
2016-11-29,101.70994914469566,101.75186951534712,39.4883361951927,0.38824457712603316,32
2016-11-30,101.75186951534712,101.8195946536542,43.09520846588289,0.42353235052239396,36
