variante,n,win_rate_pct,avg_pnl_pct,n_decoupling_exits,portfolio_final_capital,portfolio_return_pct,trades_ausgefuehrt,trades_uebersprungen,max_drawdown_pct
Ohne Entkopplungs-Schutz,502,46.2,6.61,0,23536.43,135.36,193,309,-48.16
Mit Entkopplungs-Schutz,422,45.5,5.74,9,24561.49,145.61,200,222,-47.85
