variante,n,win_rate_pct,avg_pnl_pct,n_decoupling_exits,portfolio_final_capital,portfolio_return_pct,trades_ausgefuehrt,trades_uebersprungen,max_drawdown_pct
Ohne Entkopplungs-Schutz,163,39.3,-5.15,0,5642.97,-43.57,82,81,-51.7
Mit Entkopplungs-Schutz,159,39.0,-5.21,0,6738.91,-32.61,89,70,-46.45
