,elliott_wave,elliott_wave_stocks,rsi2_mean_reversion,t3_supertrend,Portfolio (gewichtet)
2021-09-14,100.0,100.0,100.0,100.0,100.0
2021-09-15,100.0,100.0,99.87855636186916,100.0,99.9696390904673
2021-09-16,100.0,100.0,100.10942256735137,98.70992721386989,99.70483744530532
2021-09-17,100.32895523577949,100.0,100.10942256735137,98.27993621484184,99.67957850449316
2021-09-18,100.32895523577949,100.0,100.10942256735137,98.27993621484184,99.67957850449316
2021-09-19,100.32895523577949,100.0,100.10942256735137,98.27993621484184,99.67957850449316
2021-09-20,101.04835173595887,100.0,100.10942256735137,97.84994521581379,99.75192987978102
2021-09-21,102.01767847889347,100.0,100.10942256735137,97.84994521581379,99.99426156551465
2021-09-22,102.01767847889347,100.0,99.94266873935955,97.84994521581379,99.9525731085167
2021-09-23,102.01767847889347,100.0,99.75680449115424,97.84994521581379,99.90610704646537
2021-09-24,102.01767847889347,100.0,99.32435417567818,97.84994521581379,99.79799446759637
2021-09-25,102.01767847889347,100.0,99.32435417567818,97.42923459805971,99.69281681315783
2021-09-26,102.01767847889347,100.0,99.32435417567818,97.00842419125969,99.58761421145783
2021-09-27,102.01767847889347,100.0,99.32435417567818,97.00842419125969,99.58761421145783
2021-09-28,102.01767847889347,100.0,99.32435417567818,97.00842419125969,99.58761421145783
2021-09-29,102.01767847889347,100.0,99.4147690670108,97.00842419125969,99.61021793429099
2021-09-30,102.01767847889347,100.0,99.4147690670108,97.00842419125969,99.61021793429099
2021-10-01,102.01767847889347,100.0,98.92827530512459,97.00842419125969,99.48859449381943
2021-10-02,102.01767847889347,100.0,98.92827530512459,97.00842419125969,99.48859449381943
2021-10-03,102.01767847889347,100.0,98.92827530512459,97.00842419125969,99.48859449381943
2021-10-04,102.01767847889347,100.35200946490707,98.92827530512459,96.59130597916005,99.4723173070213
2021-10-05,102.01767847889347,100.35200946490707,98.74066440560942,96.59130597916005,99.42541458214251
2021-10-06,102.01767847889347,100.35200946490707,100.12062168457328,96.17418776706043,99.66612434885857
2021-10-07,102.01767847889347,100.35200946490707,99.67666401929127,96.17418776706043,99.55513493253807
2021-10-08,102.01767847889347,100.35200946490707,99.67666401929127,96.17418776706043,99.55513493253807
2021-10-09,102.01767847889347,100.35200946490707,99.67666401929127,96.17418776706043,99.55513493253807
2021-10-10,102.01767847889347,100.35200946490707,99.67666401929127,96.6728336297068,99.67979639819966
2021-10-11,102.01767847889347,100.35200946490707,98.61346709257559,97.81461989354504,99.6994437324803
2021-10-12,102.01767847889347,100.35200946490707,98.61346709257559,97.81461989354504,99.6994437324803
2021-10-13,102.01767847889347,100.35200946490707,98.61346709257559,97.81461989354504,99.6994437324803
2021-10-14,102.01767847889347,100.9551314219627,98.05566885957026,97.81461989354504,99.71077466349287
2021-10-15,102.01767847889347,101.37962319832769,99.08629587656723,97.39400906483694,99.96940165465634
2021-10-16,102.01767847889347,101.37962319832769,99.08629587656723,97.39400906483694,99.96940165465634
2021-10-17,102.01767847889347,101.37962319832769,99.08629587656723,96.55637981307515,99.7599943417159
2021-10-18,102.01767847889347,101.37962319832769,99.08629587656723,96.55637981307515,99.7599943417159
2021-10-19,102.01767847889347,101.37962319832769,99.37942506403532,96.55637981307515,99.8332766385829
2021-10-20,102.01767847889347,101.37962319832769,99.37942506403532,97.851741418641,100.15711703997437
2021-10-21,102.01767847889347,101.37962319832769,99.37942506403532,97.851741418641,100.15711703997437
2021-10-22,102.01767847889347,101.37962319832769,99.37942506403532,97.43093101184098,100.05191443827437
