,elliott_wave,elliott_wave_stocks,rsi2_crypto,rsi2_mean_reversion,t3_supertrend,turtle_soup_crypto,turtle_soup_stocks,volatility_breakout,volatility_breakout_crypto,Portfolio (gewichtet)
2022-03-18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2022-03-19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2022-03-20,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2022-03-21,100.0,100.0,100.0,100.0,100.0,100.0,100.15988381218257,100.0,100.0,100.01776486802028
2022-03-22,100.0,100.0,100.0,100.0,100.0,100.0,103.07211304036647,100.0,100.0,100.34134589337404
2022-03-23,100.0,100.0,100.0,100.0,100.0,100.0,105.2744916259807,100.0,100.0,100.58605462510897
2022-03-24,101.72002050993439,100.0,100.0,100.0,100.0,104.97134378548748,105.44197898769552,99.911124833745,100.0,101.33827423520691
2022-03-25,101.72002050993439,100.0,100.0,100.03793060437458,100.0,104.97134378548748,105.52931517131354,99.911124833745,99.46999095204585,101.29330287298895
2022-03-26,101.72002050993439,100.0,100.0,100.03793060437458,100.0,104.97134378548748,105.52931517131354,99.911124833745,99.46999095204585,101.29330287298895
2022-03-27,101.72002050993439,100.0,100.0,100.03793060437458,100.0,104.97134378548748,105.52931517131354,99.911124833745,99.46999095204585,101.29330287298895
2022-03-28,101.72002050993439,100.0,100.0,100.03793060437458,100.0,104.97134378548748,106.46266831573008,99.911124833745,99.46999095204585,101.39700877792413
2022-03-29,101.72002050993439,100.0,100.0,100.03793060437458,100.0,104.97134378548748,109.41661243033857,99.911124833745,99.46999095204585,101.7252247906584
2022-03-30,101.72002050993439,99.66998916280383,100.0,100.03793060437458,100.0,104.97134378548748,109.66278606611182,99.911124833745,99.46999095204585,101.71590954605585
2022-03-31,101.72002050993439,99.66998916280383,100.0,100.03793060437458,102.91397661839122,104.97134378548748,109.66278606611182,99.80134904047121,99.46999095204585,102.02748741551335
2022-04-01,101.72002050993439,99.33997832560766,100.0,100.03793060437458,105.76795329800683,104.97134378548748,109.75158715376818,100.55476914307431,99.46999095204585,102.40150819692214
2022-04-02,101.72002050993439,99.33997832560766,100.0,100.03793060437458,105.76795329800683,104.97134378548748,109.75158715376818,100.55476914307431,99.46999095204585,102.40150819692214
2022-04-03,101.72002050993439,99.33997832560766,100.0,100.03793060437458,108.83703179894715,104.97134378548748,109.75158715376818,100.55476914307431,99.46999095204585,102.7425169192488
2022-04-04,101.72002050993439,99.00996748841149,100.0,100.03793060437458,108.83703179894715,104.07699546477134,109.75158715376818,100.55476914307431,99.46999095204585,102.60647701281411
2022-04-05,101.72002050993439,98.68001356926244,100.0,100.03793060437458,108.83703179894715,104.07699546477134,109.75158715376818,99.84942048261448,99.46999095204585,102.49144339285759
2022-04-06,101.72002050993439,98.35000273206627,100.0,100.32409707780987,108.83703179894715,103.58988589737419,109.75158715376818,99.80419912597377,99.61304916055093,102.44331927293607
2022-04-07,101.72002050993439,98.35000273206627,99.6559747051922,100.47765979417278,108.83703179894715,103.58988589737419,109.63732463877906,101.64297928937869,104.75801749271139,103.18543298428399
2022-04-08,101.72002050993439,98.35000273206627,99.6559747051922,100.41263590095919,108.83703179894715,102.28471487655351,109.77614173574388,101.64297928937869,104.3329647129788,103.00138514019488
2022-04-09,101.72002050993439,98.35000273206627,99.6559747051922,100.41263590095919,108.83703179894715,102.28471487655351,109.77614173574388,101.64297928937869,104.3329647129788,103.00138514019488
2022-04-10,101.72002050993439,98.35000273206627,99.6559747051922,100.41263590095919,108.83703179894715,100.50666767699832,109.77614173574388,101.64297928937869,104.3329647129788,102.8038243402443
2022-04-11,101.72002050993439,98.35000273206627,99.6559747051922,100.41263590095919,108.83703179894715,100.10669921573006,109.67652826113799,102.7909937298119,103.8057705840957,102.81729527087498
2022-04-12,101.72002050993439,98.35000273206627,99.6559747051922,100.00858806136783,108.83703179894715,100.10669921573006,109.66906422627605,102.7909937298119,103.8057705840957,102.77157172926903
2022-04-13,101.72002050993439,98.35000273206627,99.6559747051922,100.1739082426986,108.83703179894715,100.10669921573006,109.42303010517314,102.7909937298119,103.8057705840957,102.76260351373881
2022-04-14,101.72002050993439,98.35000273206627,99.6559747051922,100.28340602513848,108.83703179894715,100.10669921573006,109.42303010517314,102.7909937298119,103.8057705840957,102.7747699340099
2022-04-15,101.72002050993439,98.35000273206627,99.6559747051922,100.28340602513848,108.83703179894715,100.10669921573006,109.42303010517314,102.7909937298119,103.8057705840957,102.7747699340099
2022-04-16,101.72002050993439,98.35000273206627,99.6559747051922,100.28340602513848,108.83703179894715,100.10669921573006,109.42303010517314,102.7909937298119,103.8057705840957,102.7747699340099
2022-04-17,101.72002050993439,98.35000273206627,99.6559747051922,100.28340602513848,108.83703179894715,99.21276048893225,109.42303010517314,102.7909937298119,103.8057705840957,102.67544340881014
2022-04-18,101.72002050993439,98.35000273206627,99.93606697556028,100.28340602513848,108.83703179894715,98.94847001311724,108.85604248500739,102.36732851985559,103.8057705840957,102.56712662708026
2022-04-19,101.72002050993439,98.35000273206627,99.93606697556028,100.11082688717536,108.83703179894715,98.94847001311724,107.81337959639801,101.52370321109633,103.8057705840957,102.33836358982118
2022-04-20,101.72002050993439,98.35000273206627,99.93606697556028,100.20406869631182,108.36897105207035,98.94847001311724,107.76224746972707,100.67053011590347,103.8057705840957,102.19623868319849
2022-04-21,101.72002050993439,97.70085240467367,99.93606697556028,100.20406869631182,108.36897105207035,98.35978115396942,105.68815262346874,99.82790233707011,103.8057705840957,101.73462070412826
2022-04-22,101.72002050993439,97.70085240467367,99.93606697556028,100.20406869631182,108.36897105207035,98.35978115396942,105.26367923903118,99.82790233707011,103.8057705840957,101.6874569947463
2022-04-23,101.72002050993439,97.70085240467367,99.93606697556028,100.20406869631182,108.36897105207035,98.35978115396942,105.26367923903118,99.82790233707011,103.8057705840957,101.6874569947463
2022-04-24,101.72002050993439,97.70085240467367,99.93606697556028,100.20406869631182,108.36897105207035,97.80068545542235,105.26367923903118,99.82790233707011,103.8057705840957,101.62533525046331
2022-04-25,101.72002050993439,97.70085240467367,99.93606697556028,100.20406869631182,107.90101234590577,95.93949069044221,105.14969575338272,98.98527455823675,103.8057705840957,101.26025027983813
2022-04-26,101.72002050993439,97.70085240467367,99.93606697556028,99.9172887899217,107.90101234590577,92.37407802968943,105.13783700640582,98.98527455823675,103.8057705840957,100.83091124493593
2022-04-27,101.72002050993439,97.70085240467367,99.93606697556028,99.94765372118654,107.90101234590577,92.37407802968943,104.85357586563622,98.1321014630439,103.8057705840957,100.70790354441397
2022-04-28,101.72002050993439,97.70085240467367,99.93606697556028,99.15918789655885,107.90101234590577,91.76163272327732,104.5905209547547,97.12179365380962,103.8057705840957,100.41076200539669
2022-04-29,101.72002050993439,97.70085240467367,99.93606697556028,99.15918789655885,107.90101234590577,90.73928630307697,104.5905209547547,96.26862055861677,103.8057705840957,100.20237094813078
2022-04-30,101.72002050993439,97.70085240467367,99.93606697556028,99.15918789655885,107.90101234590577,90.57114799959449,104.5905209547547,96.26862055861677,103.8057705840957,100.1836889144105
2022-05-01,101.72002050993439,97.70085240467367,97.79535466422735,99.15918789655885,107.90101234590577,90.57114799959449,104.5905209547547,96.26862055861677,103.8057705840957,99.94583199092907
2022-05-02,101.72002050993439,97.88526687733935,97.79535466422735,99.15918789655885,107.90101234590577,90.57114799959449,103.47775194431132,96.26862055861677,103.8057705840957,99.84268148673154
2022-05-03,101.72002050993439,97.88526687733935,97.79535466422735,99.35926927866419,107.90101234590577,90.57114799959449,103.09178460888108,96.26862055861677,103.8057705840957,99.82202749191765
2022-05-04,101.72002050993439,97.23919012449116,97.79535466422735,99.6335760483058,107.90101234590577,90.57114799959449,103.08146052327767,96.26862055861677,103.8057705840957,99.7795725953832
2022-05-05,101.72002050993439,96.27653519356689,97.79535466422735,99.6335760483058,106.51111580498387,88.76105007592847,102.97640597652943,96.26862055861677,103.8057705840957,99.30538326846539
2022-05-06,101.72002050993439,95.63108453923704,97.79535466422735,99.1450789385974,106.51111580498387,86.91961821750871,102.40879054034728,93.82082462473875,103.8057705840957,98.63973982485224
2022-05-07,101.72002050993439,95.63108453923704,97.79535466422735,99.1450789385974,106.51111580498387,86.49026139259884,102.40879054034728,93.82082462473875,103.8057705840957,98.59203351097337
2022-05-08,101.72002050993439,95.63108453923704,97.79535466422735,99.1450789385974,106.51111580498387,85.61168243773916,102.40879054034728,93.82082462473875,103.8057705840957,98.49441362710007
2022-05-09,101.72002050993439,95.63108453923704,97.79535466422735,99.1450789385974,106.51111580498387,85.41384857517636,100.03243716084856,93.82082462473875,103.8057705840957,98.20839282242657
2022-05-10,101.72002050993439,95.63108453923704,97.79535466422735,99.1450789385974,106.51111580498387,85.41384857517636,98.09367154479712,92.98527455823674,103.8057705840957,97.90013552436508
2022-05-11,97.2826225520515,95.63108453923704,97.79535466422735,99.1450789385974,106.51111580498387,82.77288938813837,97.9894540860708,92.51914307429223,103.8057705840957,97.05027929241047
2022-05-12,97.2826225520515,95.31553088600909,97.79535466422735,99.05439310010613,106.51111580498387,82.77288938813837,97.68970681689606,92.35146304389133,103.8057705840957,96.9532052044888
2022-05-13,97.2826225520515,95.31553088600909,97.79535466422735,99.44801257946513,106.51111580498387,82.77288938813837,97.68970681689606,92.35146304389133,103.8057705840957,96.99694070219536
