symbol,entry_time,exit_time,entry_price,exit_price,result,pnl_pct,atr_at_entry,vol_at_entry,initial_stop_pct
AAVEUSDT,2022-03-17,2022-03-20,155.6,154.57275562209796,trailing_stop,-0.96,12.077034867678043,0.06176074510690113,6.951
TRXUSDT,2022-03-22,2022-03-25,0.06344,0.06404414446511593,trailing_stop,0.65,0.0021428514915144796,0.030255179771500735,3.025
ADAUSDT,2022-03-22,2022-03-25,0.975,1.1273609537542975,trailing_stop,15.33,0.0598995498831002,0.04994651524758078,5.502
DOGEUSDT,2022-03-23,2022-03-25,0.1298,0.1344035354214947,trailing_stop,3.25,0.007246333918701121,0.037097282695250894,5.0
NEARUSDT,2022-03-23,2022-03-25,12.493,12.303187208543687,trailing_stop,-1.82,0.9785817149741478,0.07409809079420447,7.015
BTCUSDT,2022-03-24,2022-03-30,43991.46,46550.98926888237,trailing_stop,5.52,1979.155615764476,0.03527211313597866,4.029
UNIUSDT,2022-03-24,2022-03-26,10.79,10.50803078193701,trailing_stop,-2.91,0.7157665814219091,0.050523858014458474,5.941
SOLUSDT,2022-03-24,2022-03-26,102.32,98.55583671312245,trailing_stop,-3.98,6.971827800950999,0.05408483051316587,6.103
DOGEUSDT,2022-03-26,2022-03-29,0.136,0.14615988745035216,trailing_stop,7.17,0.007894021727181618,0.03796341997627315,5.199
TRXUSDT,2022-03-26,2022-03-29,0.06632,0.0698323524178979,trailing_stop,5.0,0.0021945327844946124,0.030134917399437217,2.964
BNBUSDT,2022-03-27,2022-03-30,430.5,426.888170069676,trailing_stop,-1.14,17.009225952656113,0.0388928095939811,3.539
NEARUSDT,2022-03-29,2022-03-31,14.101,13.750332081645434,trailing_stop,-2.79,1.065411354441051,0.07230667972185494,6.767
ZECUSDT,2022-08-05,2022-08-10,69.1,77.1479171618112,trailing_stop,11.35,4.991792497074266,0.061748312919834875,6.47
NEARUSDT,2022-08-05,2022-08-07,5.196,4.8165824014520835,trailing_stop,-7.6,0.43513652502695205,0.07942592262736607,7.5
AAVEUSDT,2022-08-10,2022-08-12,111.1,105.6328033523211,trailing_stop,-5.22,9.348383841757364,0.07471572547378184,7.536
SOLUSDT,2022-08-12,2022-08-14,45.48,45.47339941698826,trailing_stop,-0.31,3.2557411105739336,0.06254548462751149,6.411
ADAUSDT,2022-08-13,2022-08-15,0.5593,0.5673242243434948,trailing_stop,1.13,0.030106815587922053,0.051747029951426056,4.821
DOGEUSDT,2022-08-14,2022-08-15,0.08168,0.07732879891451548,stop_loss,-5.63,0.004858282898742012,0.049158510494846076,5.327
SOLUSDT,2022-09-12,2022-09-13,37.44,35.31617080576077,stop_loss,-5.97,2.3713367531191643,0.05330663499269301,5.673
NEARUSDT,2022-09-12,2022-09-13,5.092,4.773557105263493,stop_loss,-6.55,0.35555370559299154,0.06044128352194309,6.254
NEARUSDT,2022-11-04,2022-11-06,3.307,3.2723134280946127,trailing_stop,-1.35,0.19116103516069205,0.043627391680410584,5.177
XRPUSDT,2022-11-04,2022-11-06,0.5064,0.48709982436962757,trailing_stop,-4.11,0.02592038013279754,0.0418330905411057,4.584
AAVEUSDT,2022-11-04,2022-11-06,94.6,93.51934485094726,trailing_stop,-1.44,5.491703180382823,0.04494949425326697,5.199
XRPUSDT,2023-01-11,2023-01-15,0.3728,0.39272504264121966,trailing_stop,5.04,0.01647903094070354,0.04303924072713664,3.959
UNIUSDT,2023-01-11,2023-01-15,5.919,6.700208353324422,trailing_stop,12.9,0.2584483497305105,0.04750944420114615,3.911
LINKUSDT,2023-01-11,2023-01-15,6.284,6.836029019672098,trailing_stop,8.48,0.2617614051752515,0.04825047468485471,3.731
BTCUSDT,2023-01-11,2023-01-13,17943.26,18765.549447099667,trailing_stop,4.28,328.41135140672753,0.027601341530070732,1.639
DOGEUSDT,2023-01-31,2023-02-01,0.09612,0.09063607522765445,stop_loss,-6.01,0.006123012339823249,0.053034038320637654,5.705
BNBUSDT,2023-02-02,2023-02-06,323.5,325.942169390939,trailing_stop,0.45,13.39371825825822,0.038112459287707186,3.708
LINKUSDT,2023-02-17,2023-02-19,7.65,7.8322942622549405,trailing_stop,2.08,0.45093629993580986,0.03346577459070489,5.279
ZECUSDT,2023-02-20,2023-02-21,50.3,47.40576162201547,stop_loss,-6.05,3.2315281551919557,0.036200985738959655,5.754
ADAUSDT,2023-03-21,2023-03-23,0.3696,0.3649648555781482,trailing_stop,-1.55,0.02333975900217176,0.03637201539404935,5.656
XRPUSDT,2023-03-21,2023-03-22,0.4696,0.44593196456332973,stop_loss,-5.34,0.026426269333399716,0.034451795134082724,5.04
DOGEUSDT,2023-04-01,2023-04-02,0.08181,0.07735620557352166,stop_loss,-5.74,0.0049728322988462255,0.03437404889404982,5.444
DOGEUSDT,2023-04-03,2023-04-05,0.096,0.09702720674818271,trailing_stop,0.77,0.006913054380127612,0.040078455857472293,6.449
ETHUSDT,2023-04-04,2023-04-06,1870.37,1872.6292152155909,trailing_stop,-0.18,78.56083787918803,0.029324113111778984,3.762
ZECUSDT,2023-04-09,2023-04-12,39.8,39.1488511325767,trailing_stop,-1.94,2.335364086415802,0.04056002754978702,5.255
BTCUSDT,2023-04-10,2023-04-16,29637.34,30149.91888817886,trailing_stop,1.43,1024.5928087349178,0.029515675302659618,3.096
SOLUSDT,2023-04-11,2023-04-14,22.98,24.04766022072937,trailing_stop,4.35,1.3148753705495204,0.05770891476943399,5.125
NEARUSDT,2023-04-12,2023-04-16,2.226,2.2880645727746467,trailing_stop,2.49,0.13112685191450232,0.05285485213085237,5.276
ADAUSDT,2023-04-13,2023-04-16,0.4251,0.4433155589678597,trailing_stop,3.99,0.019640703978812672,0.036130990151748796,4.138
LINKUSDT,2023-04-14,2023-04-17,7.743,7.871283185037381,trailing_stop,1.36,0.3522394758234392,0.035543842301628624,4.074
BNBUSDT,2023-04-14,2023-04-17,328.9,340.96920848769196,trailing_stop,3.37,9.345633834736851,0.02429716781771103,2.545
BTCUSDT,2023-06-20,2023-06-22,28307.99,29862.552242256934,trailing_stop,5.19,931.6722516915298,0.02157050797323264,2.948
TRXUSDT,2023-06-30,2023-07-02,0.0762,0.07558327402735585,trailing_stop,-1.11,0.0024090523286753257,0.01942588262708239,2.832
XRPUSDT,2023-07-13,2023-07-14,0.8153,0.7699323587243367,stop_loss,-5.86,0.050654711523467524,0.06321109783315781,5.565
DOGEUSDT,2023-07-13,2023-07-14,0.07042,0.06751147114593062,stop_loss,-4.43,0.0032474840198403383,0.028467348177257195,4.13
ADAUSDT,2023-07-13,2023-07-14,0.3567,0.33957448143522384,stop_loss,-5.1,0.01912129831298666,0.03669857121671715,4.801
LINKUSDT,2023-07-13,2023-07-14,7.124,6.831484405106991,stop_loss,-4.41,0.32660488089710965,0.0349587693706564,4.106
ETHUSDT,2023-07-13,2023-07-14,2004.49,1948.5063248642998,stop_loss,-3.09,62.50792049759152,0.023846336367516263,2.793
BTCUSDT,2023-07-13,2023-07-14,31454.23,30648.13084889493,stop_loss,-2.86,900.0406194898094,0.021176405353110852,2.563
DOGEUSDT,2023-07-15,2023-07-17,0.07197,0.0688372747402706,trailing_stop,-4.65,0.0038016061191480464,0.029040553555891597,4.731
DOGEUSDT,2023-07-21,2023-07-25,0.07322,0.07406756531438734,trailing_stop,0.86,0.004126550527198337,0.027207927466979427,5.048
TRXUSDT,2023-07-22,2023-07-24,0.0839,0.08267948788096206,trailing_stop,-1.75,0.0028834415247602006,0.020701129597717603,3.078
UNIUSDT,2023-10-01,2023-10-02,4.653,4.502822871932519,stop_loss,-3.53,0.16767852340963116,0.029368662084130564,3.228
NEARUSDT,2023-10-01,2023-10-02,1.16,1.123614405365109,stop_loss,-3.44,0.04062591194991063,0.0253143824835685,3.137
ADAUSDT,2023-10-01,2023-10-02,0.2659,0.25889781687172186,stop_loss,-2.93,0.007818206025793329,0.03096532807002194,2.633
SUIUSDT,2023-10-01,2023-10-02,0.507,0.4828438015626141,stop_loss,-5.06,0.026971322046795764,0.03818501762005153,4.765
ZECUSDT,2023-10-01,2023-10-02,28.06,27.214581049962014,stop_loss,-3.31,0.9439426830774932,0.02620153700071215,3.013
DOGEUSDT,2023-10-01,2023-10-02,0.06319,0.061674086041847494,stop_loss,-2.7,0.0016925760759311196,0.02627236129507116,2.399
PEPEUSDT,2023-10-01,2023-10-02,8.2e-07,7.60060648498872e-07,stop_loss,-7.61,6.692458487635945e-08,0.04836443300993178,7.31
XRPUSDT,2023-10-03,2023-10-04,0.539,0.5215963361300344,stop_loss,-3.53,0.019431858214268863,0.06557018414094327,3.229
SOLUSDT,2023-10-19,2023-10-22,24.93,28.93350440480563,trailing_stop,15.76,1.266179791575874,0.03273879528399601,4.549
AAVEUSDT,2023-10-21,2023-10-24,70.06,83.77511276442368,trailing_stop,19.28,3.485732363236802,0.029552306104144596,4.456
LINKUSDT,2023-10-21,2023-10-23,8.914,9.832743561703948,trailing_stop,10.01,0.43595060314619416,0.03374371411076186,4.38
PEPEUSDT,2023-10-23,2023-10-24,1e-06,9.342272330310544e-07,stop_loss,-6.88,7.343781698211009e-08,0.05649721887829775,6.577
DOGEUSDT,2023-10-23,2023-10-24,0.06742,0.06558962922462974,stop_loss,-3.01,0.0020436791730916327,0.022726428728526926,2.715
PROMUSDT,2023-10-23,2023-10-25,4.279,4.2501587839100345,trailing_stop,-0.97,0.17274378968878423,0.045212603668025625,3.616
UNIUSDT,2023-11-01,2023-11-02,4.795,4.578973038318013,stop_loss,-4.81,0.24120238825733864,0.02955304596869052,4.505
PROMUSDT,2023-11-10,2023-11-12,4.509,4.48490297958111,trailing_stop,-0.83,0.1567558741041904,0.04383132825299413,3.114
PEPEUSDT,2023-12-04,2023-12-06,1.39e-06,1.5714823340178897e-06,trailing_stop,12.76,1.15585636619656e-07,0.06530958522388709,7.448
XRPUSDT,2023-12-06,2023-12-10,0.64,0.6721915405019674,trailing_stop,4.73,0.028620135016771072,0.02486523798968373,4.005
