symbol,entry_time,exit_time,entry_price,exit_price,result,pnl_pct,atr_at_entry,vol_at_entry,initial_stop_pct
AAVEUSDT,2022-03-17,2022-03-18,155.6,147.82,stop_loss,-5.3,12.077034867678043,0.06176074510690113,5.0
TRXUSDT,2022-03-22,2022-04-06,0.06344,0.06308,time_exit,-0.87,0.0021428514915144796,0.030255179771500735,5.0
ADAUSDT,2022-03-22,2022-04-06,0.975,1.052,time_exit,7.6,0.0598995498831002,0.04994651524758078,5.0
DOGEUSDT,2022-03-23,2022-04-07,0.1298,0.1459,time_exit,12.1,0.007246333918701121,0.037097282695250894,5.0
NEARUSDT,2022-03-23,2022-04-07,12.493,17.447,time_exit,39.35,0.9785817149741478,0.07409809079420447,5.0
UNIUSDT,2022-03-24,2022-04-06,10.79,10.250499999999999,stop_loss,-5.3,0.7157665814219091,0.050523858014458474,5.0
SOLUSDT,2022-03-24,2022-03-25,102.32,97.204,stop_loss,-5.3,6.971827800950999,0.05408483051316587,5.0
BTCUSDT,2022-03-24,2022-04-08,43991.46,42252.01,time_exit,-4.25,1979.155615764476,0.03527211313597866,5.0
BNBUSDT,2022-03-27,2022-04-11,430.5,408.97499999999997,stop_loss,-5.3,17.009225952656113,0.0388928095939811,5.0
BTCUSDT,2022-05-30,2022-06-01,31734.22,30147.509,stop_loss,-5.3,1740.2714230547842,0.03439609036382556,5.0
LINKUSDT,2022-06-06,2022-06-07,7.97,7.5714999999999995,stop_loss,-5.3,0.7397820136752824,0.057241350256655034,5.0
AAVEUSDT,2022-07-09,2022-07-10,81.9,77.805,stop_loss,-5.3,8.467687483165411,0.07973246198175929,5.0
LINKUSDT,2022-07-18,2022-07-21,7.037,6.685149999999999,stop_loss,-5.3,0.5317562216179684,0.0668575036305722,5.0
NEARUSDT,2022-07-18,2022-07-25,4.062,3.8589,stop_loss,-5.3,0.355766990264784,0.0786790839978033,5.0
XRPUSDT,2022-07-18,2022-07-25,0.3653,0.347035,stop_loss,-5.3,0.021797921163491555,0.04797284771802803,5.0
SOLUSDT,2022-07-18,2022-07-20,43.52,41.344,stop_loss,-5.3,3.563658620147572,0.07286288936288927,5.0
ZECUSDT,2022-07-18,2022-07-19,65.6,62.31999999999999,stop_loss,-5.3,5.373812102487585,0.06652604726147149,5.0
ADAUSDT,2022-07-18,2022-07-26,0.4904,0.46587999999999996,stop_loss,-5.3,0.03360847938574931,0.06464055201386712,5.0
NEARUSDT,2022-08-05,2022-08-06,5.196,4.9361999999999995,stop_loss,-5.3,0.43513652502695205,0.07942592262736607,5.0
ZECUSDT,2022-08-05,2022-08-19,69.1,65.645,stop_loss,-5.3,4.991792497074266,0.061748312919834875,5.0
AAVEUSDT,2022-08-10,2022-08-12,111.1,105.54499999999999,stop_loss,-5.3,9.348383841757364,0.07471572547378184,5.0
SOLUSDT,2022-08-12,2022-08-15,45.48,43.205999999999996,stop_loss,-5.3,3.2557411105739336,0.06254548462751149,5.0
ADAUSDT,2022-08-13,2022-08-17,0.5593,0.531335,stop_loss,-5.3,0.030106815587922053,0.051747029951426056,5.0
DOGEUSDT,2022-08-14,2022-08-15,0.08168,0.077596,stop_loss,-5.3,0.004858282898742012,0.049158510494846076,5.0
NEARUSDT,2022-09-08,2022-09-13,4.69,4.4555,stop_loss,-5.3,0.3429917423780807,0.06251673341352106,5.0
LINKUSDT,2022-09-09,2022-09-13,7.742,7.3549,stop_loss,-5.3,0.5304064579234139,0.05074033810184471,5.0
XRPUSDT,2022-09-09,2022-09-13,0.3568,0.33896,stop_loss,-5.3,0.016621513263080357,0.03452525581325437,5.0
ETHUSDT,2022-09-10,2022-09-13,1774.12,1685.4139999999998,stop_loss,-5.3,104.53335280938975,0.055125086415420535,5.0
SOLUSDT,2022-09-12,2022-09-13,37.44,35.568,stop_loss,-5.3,2.3713367531191643,0.05330663499269301,5.0
BNBUSDT,2022-10-04,2022-10-06,296.2,281.39,stop_loss,-5.3,11.176602051910207,0.02947381251127533,5.0
DOGEUSDT,2022-10-04,2022-10-07,0.06584,0.06254799999999999,stop_loss,-5.3,0.0034686356289218884,0.04023452200497715,5.0
BTCUSDT,2022-10-04,2022-10-07,20337.82,19320.929,stop_loss,-5.3,911.8828717481954,0.03162714668639238,5.0
AAVEUSDT,2022-10-18,2022-10-21,82.5,78.375,stop_loss,-5.3,4.277917677032216,0.047942177067303374,5.0
