entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score,symbol
2021-09-07 08:00:00,long,2.534,2021-09-07 10:00:00,2.6510559999999996,take_profit,4.62,4.32,0.33,ADAUSDT
2021-09-07 15:00:00,long,21.0,2021-09-07 16:00:00,23.1948,take_profit,10.45,10.15,0.66,UNIUSDT
2021-09-07 15:00:00,long,23.79,2021-09-07 16:00:00,26.74944,take_profit,12.44,12.14,0.67,LINKUSDT
2021-09-07 18:00:00,long,0.08286,2021-09-08 04:00:00,0.08862076,take_profit,6.95,6.65,0.33,TRXUSDT
2021-09-07 18:00:00,long,0.2403,2021-09-08 00:00:00,0.2590856,take_profit,7.82,7.52,0.34,DOGEUSDT
2021-09-10 21:00:00,long,124.8,2021-09-11 00:00:00,129.02439999999999,take_profit,3.38,3.08,0.33,ZECUSDT
2021-09-10 21:00:00,long,304.9,2021-09-10 22:00:00,315.7088,take_profit,3.55,3.25,0.67,AAVEUSDT
2021-09-13 08:00:00,long,7.9,2021-09-13 11:00:00,8.3484,take_profit,5.68,5.38,0.33,NEARUSDT
2021-09-14 18:00:00,long,150.85,2021-09-14 19:00:00,156.5494,take_profit,3.78,3.48,0.33,SOLUSDT
2021-09-17 13:00:00,long,354.5,2021-09-17 17:00:00,369.486,take_profit,4.23,3.93,0.33,AAVEUSDT
2021-09-17 18:00:00,long,138.54,2021-09-17 19:00:00,143.5078,take_profit,3.59,3.29,0.67,SOLUSDT
2021-09-20 12:00:00,long,130.26,2021-09-20 13:00:00,139.98556,take_profit,7.47,7.17,0.66,SOLUSDT
2021-09-20 12:00:00,long,0.08902,2021-09-21 00:00:00,0.0872396,stop_loss,-2.0,-2.3,0.33,TRXUSDT
2021-09-20 19:00:00,long,0.205,2021-09-21 00:00:00,0.2009,stop_loss,-2.0,-2.3,0.33,DOGEUSDT
2021-09-20 19:00:00,long,2.026,2021-09-21 00:00:00,1.9854799999999997,stop_loss,-2.0,-2.3,0.34,ADAUSDT
2021-09-20 19:00:00,long,0.9023,2021-09-21 00:00:00,0.884254,stop_loss,-2.0,-2.3,0.67,XRPUSDT
2021-09-21 00:00:00,long,22.15,2021-09-21 07:00:00,23.875159999999997,take_profit,7.79,7.49,0.33,LINKUSDT
2021-09-21 00:00:00,long,2807.18,2021-09-21 02:00:00,3012.2876,take_profit,7.31,7.01,0.67,ETHUSDT
2021-09-21 00:00:00,long,19.4,2021-09-21 02:00:00,21.052,take_profit,8.52,8.22,0.67,UNIUSDT
2021-09-21 00:00:00,long,274.2,2021-09-21 02:00:00,296.69079999999997,take_profit,8.2,7.9,0.33,AAVEUSDT
2021-09-21 00:00:00,long,344.0,2021-09-21 01:00:00,361.936,take_profit,5.21,4.91,0.33,BNBUSDT
2021-09-24 13:00:00,long,7.414,2021-09-24 14:00:00,7.887416,take_profit,6.39,6.09,0.66,NEARUSDT
2021-09-26 07:00:00,long,6.598,2021-09-26 09:00:00,7.001324,take_profit,6.11,5.81,0.67,NEARUSDT
2021-09-28 00:00:00,long,22.15,2021-09-28 02:00:00,23.06568,take_profit,4.13,3.83,0.66,UNIUSDT
2021-10-27 19:00:00,long,1.904,2021-10-28 08:00:00,1.9969839999999999,take_profit,4.88,4.58,0.34,ADAUSDT
2021-10-30 22:00:00,long,0.258,2021-10-30 23:00:00,0.2674164,take_profit,3.65,3.35,0.33,DOGEUSDT
2021-11-01 04:00:00,long,301.9,2021-11-01 07:00:00,313.1808,take_profit,3.74,3.44,0.33,AAVEUSDT
2021-11-16 10:00:00,long,163.0,2021-11-16 14:00:00,174.8708,take_profit,7.28,6.98,0.34,ZECUSDT
2021-11-16 10:00:00,long,28.0,2021-11-16 11:00:00,29.593,take_profit,5.69,5.39,0.33,LINKUSDT
