symbol_a,symbol_b,correlation
GOOGL,GOOG,0.9819
BAC,C,0.9371
JPM,C,0.922
JPM,USB,0.9136
USB,PNC,0.9116
JPM,PNC,0.9052
JPM,BAC,0.9022
MS,C,0.9015
MS,GS,0.9013
WFC,PNC,0.8945
GS,C,0.8899
WFC,USB,0.887
BAC,PNC,0.8835
BAC,MS,0.8829
JPM,GS,0.8794
JPM,WFC,0.8791
BNY,PNC,0.8778
C,PNC,0.877
JPM,MS,0.8757
C,BNY,0.8726
