lookback_days,rebalance_days,stop_loss_pct,num_trades,num_pairs,win_rate,total_return_pct,avg_return_pct,avg_holding_days,max_drawdown_pct,robustness_score
120,5,12.0,1131,20,51.6,3949.09,3.49,42.9,-82.58,1.421
60,5,12.0,1509,20,53.4,3715.55,2.46,32.5,-72.13,1.325
120,5,kein Stop,981,20,54.4,3428.84,3.5,49.8,-83.01,1.321
120,5,8.0,1286,20,46.5,3855.66,3.0,37.4,-84.61,1.272
60,5,kein Stop,1360,20,54.6,3349.28,2.46,36.4,-73.61,1.232
60,5,8.0,1683,20,49.3,3482.58,2.07,28.9,-81.16,1.046
120,1,kein Stop,2136,20,48.2,3267.54,1.53,23.1,-86.61,0.816
120,1,8.0,2488,20,44.5,3619.14,1.45,19.9,-93.44,0.774
20,5,12.0,2529,20,52.6,3162.84,1.25,19.6,-82.72,0.76
120,1,12.0,2305,20,47.3,3528.86,1.53,21.4,-99.72,0.737
20,5,kein Stop,2377,20,53.0,2983.27,1.26,21.0,-85.35,0.72
20,5,8.0,2728,20,50.4,3008.21,1.1,17.9,-89.56,0.642
60,1,kein Stop,3091,20,47.0,2771.58,0.9,16.1,-94.12,0.532
60,1,12.0,3256,20,46.6,2919.92,0.9,15.3,-98.81,0.52
60,1,8.0,3468,20,45.2,3029.94,0.87,14.4,-109.08,0.47
20,1,8.0,5847,20,45.5,2087.46,0.36,8.6,-97.51,0.282
20,1,kein Stop,5423,20,46.5,2042.01,0.38,9.2,-106.39,0.263
20,1,12.0,5559,20,46.4,2137.26,0.38,9.0,-112.27,0.252
