periode,rendite_pct,max_dd_pct,fenster_start,fenster_ende,allzeit_max_dd_pct
2022-Baerenmarkt,-23.84,-25.71,2022-01-01,2022-12-31,-27.45
2020-COVID-Crash,-20.82,-23.43,2020-02-01,2020-04-30,-27.45
