signal_time,entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score,start_time,wave0,wave1,wave2,wave3,wave4,wave5,symbol,stufe,score_nachbildung,naehe,naehe_fib,gesamtabstand,naehe_weich,entartet,erf_w2_w1,r_w2_w1,d_w2_w1,dfib_w2_w1,erf_w3_w1,r_w3_w1,d_w3_w1,dfib_w3_w1,erf_w4_w3,r_w4_w3,d_w4_w3,dfib_w4_w3,muster_bedingungen,haltedauer_balken
2018-12-10,2018-12-11,long,39.975852966308594,2018-12-17,38.776577377319335,stop_loss,-3.0,-3.3,1.0,2018-11-01,52.52994516393309,46.81533749201692,49.81157269477847,40.36226968529681,43.84235015808843,38.71942732261499,AAPL,3,1.0,0.4440666950655808,0.544837546150719,0.5559333049344192,0.6568042821959156,False,True,0.5243116194111146,0.5879386540489042,1.587938654048905,True,1.6535348622302197,0.2676743111510981,0.17767431115109805,True,0.36828964732103764,0.8121869496032552,0.18781305039674473,w2w3w4,6.0
2021-03-08,2021-03-09,long,117.73102569580078,2021-07-16,142.5709686279297,time_exit,21.1,20.8,0.34,2021-01-25,140.85477848015867,126.40919082950612,134.0552584795755,115.10594023894576,125.1493828138184,112.98639210708664,AAPL,1,0.34,0.16554380470728478,0.0,1.6573750845893886,0.4410344568091311,False,True,0.5293012534331893,0.5033685858781457,1.5033685858781467,False,1.311772057938657,1.4411397103067154,1.5311397103067155,False,0.5300160379035813,3.027616957583305,2.027616957583305,w2--,129.0
2022-10-13,2022-10-14,long,135.7281951904297,2022-12-16,131.6563493347168,stop_loss,-3.0,-3.3,0.0,2022-09-12,161.11223777090294,145.52676674658431,155.69800426701255,135.05139229305564,144.71263233032042,131.79501040391918,AAPL,0,0.0,0.0,0.13779542289552105,1.713370432560253,0.37405626430197075,False,False,0.6526102101474928,1.5866137313134379,0.5866137313134369,False,1.3247345519260336,1.376327240369832,1.466327240369832,False,0.46793343379781677,2.1771703259974897,1.1771703259974897,---,63.0
2023-01-03,2023-01-09,long,127.86767578125,2023-05-18,172.4811248779297,time_exit,34.89,34.59,0.33,2022-12-05,148.2734173934748,137.54492649061714,147.34010905974955,127.6122238272619,134.41087369361549,121.99252821247748,AAPL,1,0.33,0.17067890023838328,0.16265443309495006,2.560743715461791,0.4235568101952416,False,False,0.9130065596199879,6.000111179999796,5.000111179999795,False,1.8388313334201458,1.1941566671007282,1.1041566671007281,True,0.34462132084779407,0.4879632992848502,0.5120367007151498,--w4,129.0
2024-04-10,2024-04-12,long,174.64610290527344,2024-04-16,169.40671981811522,stop_loss,-3.0,-3.3,0.0,2024-01-24,194.0146790217886,177.09097033579843,188.74887780721724,166.67296512435692,176.74319458007812,165.30786924976792,AAPL,0,0.0,0.0,0.0,1.898204568003699,0.34918971228242435,False,False,0.6888506347943399,2.2008582168532205,1.2008582168532196,False,1.3044370529218143,1.4778147353909283,1.5678147353909284,False,0.4561636748789872,2.0159407517669474,1.0159407517669474,---,4.0
2025-04-08,2025-04-09,long,197.6343994140625,2025-04-10,191.7053674316406,stop_loss,-3.0,-3.3,0.0,2025-03-03,242.538180061918,227.82866128733943,239.8944479764648,207.14590135231947,224.24073468961828,168.1756135141289,AAPL,0,0.0,0.0,0.0,3.4926387402770978,0.2271631465718084,False,False,0.8202706610618562,4.428316289184004,3.4283162891840036,False,2.2263506458649283,3.13175322932464,3.0417532293246397,False,0.5220028092695534,2.9178467023226498,1.9178467023226495,---,1.0
2025-04-10,2025-04-11,long,196.9386749267578,2025-04-21,191.0305146789551,stop_loss,-3.0,-3.3,0.67,2025-03-07,239.8944479764648,207.14590135231947,224.24073468961828,168.1756135141289,199.38363475051756,181.88129692496372,AAPL,2,0.67,0.2709962045941631,0.1766865477040304,1.5264411946257421,0.4944406627431002,False,True,0.5220028092695534,0.6270710293296017,1.6270710293296027,True,1.711988071377582,0.5599403568879089,0.46994035688790886,False,0.5566387904291593,3.392312197659716,2.392312197659716,w2w3-,10.0
2018-03-27,2018-03-28,long,65.8835678100586,2018-04-02,63.90706077575683,stop_loss,-3.0,-3.3,0.0,2018-02-27,85.26355790027144,78.14193283254741,84.87915165360535,66.75717157369007,70.11180073169542,63.68208070354198,ABBV,0,0.0,0.0,0.0,4.326660961891059,0.22592671263715403,False,False,0.9460226783900406,6.55970641339052,5.559706413390519,False,2.5446411328288043,4.72320566414402,4.63320566414402,False,0.18511383100587955,1.697070808138636,2.697070808138636,---,5.0
2019-03-08,2019-03-15,long,59.36238861083984,2019-03-25,57.58151695251464,stop_loss,-3.0,-3.3,0.0,2019-01-08,66.54490132522373,61.63207838633125,65.52924836638147,55.29738223662444,59.62512500723858,56.26071928905241,ABBV,0,0.0,0.0,0.14626893811387387,2.648404400196442,0.2948622993749173,False,False,0.7932648964810383,3.9705914657803105,2.9705914657803096,False,2.0826857098301277,2.413428549150637,2.3234285491506372,False,0.42296710255306164,1.5611931856583785,0.5611931856583784,---,10.0
2020-03-23,2020-03-24,long,52.10205078125,2020-07-31,75.27056121826172,time_exit,44.47,44.17,0.0,2020-03-10,68.10551718210223,59.490067270884495,66.63874412178593,49.94045975799608,57.78393786696314,48.28838360461121,ABBV,0,0.0,0.0,0.0,2.8271678487808583,0.2876297561762179,False,False,0.8297508458140429,4.588997386678694,3.5889973866786935,False,1.9381790313756997,1.6908951568784973,1.6008951568784975,False,0.469717603203333,2.2016110027853832,1.2016110027853832,---,129.0
