variante,n,win_rate_pct,avg_pnl_pct,portfolio_final_capital,portfolio_return_pct,trades_ausgefuehrt,trades_uebersprungen,max_drawdown_pct
Ohne BTC-Regime-Filter (Basis-Regel),439,63.3,0.94,12837.09,28.37,392,47,-13.3
Mit BTC-Regime-Filter (nur bei BTC-Aufwaertstrend),268,62.7,0.87,11168.24,11.68,238,30,-13.48
