entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct,fib_score
2025-11-14 23:00:00,long,94012.45,2025-11-18 02:00:00,91192.0765,stop_loss,-3.0,0.66
2025-03-11 00:00:00,long,76606.0,2025-03-11 13:00:00,82142.708,take_profit,7.23,0.33
2025-03-10 19:00:00,long,77459.91,2025-03-11 18:00:00,82740.33802000001,take_profit,6.82,0.33
2025-11-21 12:00:00,long,80600.0,2025-11-23 01:00:00,85656.15582,take_profit,6.27,0.33
2026-01-31 18:00:00,long,75719.9,2026-02-03 18:00:00,73448.30299999999,stop_loss,-3.0,0.33
2026-06-04 02:00:00,long,61383.56,2026-06-05 18:00:00,59542.053199999995,stop_loss,-3.0,0.33
