periode,ts_baseline_rendite_pct,ts_baseline_max_dd_pct,ts_neu_2pct_unbegrenzt_rendite_pct,ts_neu_2pct_unbegrenzt_max_dd_pct,vol_breakout_rendite_pct,vol_breakout_max_dd_pct
2022-Baerenmarkt,-12.22,-25.57,-11.53,-18.67,-13.14,-22.39
2020-COVID-Crash,-24.22,-32.22,-25.18,-29.91,-2.0,-3.64
