periode,turtle_soup_rendite_pct,turtle_soup_max_dd_pct,vol_breakout_rendite_pct,vol_breakout_max_dd_pct
2022-Baerenmarkt,-12.22,-25.57,-13.14,-22.39
2020-COVID-Crash,-24.22,-32.22,-2.0,-3.64
