allocation_pct,limit,final_capital,total_return_pct,trades_ausgefuehrt,trades_uebersprungen,max_drawdown_pct
10%,8,16430.92,64.31,475,57,-23.0
10%,15,17309.89,73.1,496,36,-23.81
10%,unbegrenzt,17309.89,73.1,496,36,-23.81
5%,8,13116.19,31.16,475,57,-12.15
5%,15,13726.23,37.26,529,3,-13.45
5%,unbegrenzt,13785.5,37.85,532,0,-13.07
3%,8,11837.08,18.37,475,57,-7.46
3%,15,12179.14,21.79,529,3,-8.26
3%,unbegrenzt,12210.98,22.11,532,0,-8.02
