allocation_pct,limit,final_capital,total_return_pct,trades_ausgefuehrt,trades_uebersprungen,max_drawdown_pct
10%,8,27759.42,177.59,1414,185,-32.4
10%,15,26597.19,165.97,1471,128,-36.02
10%,unbegrenzt,26597.19,165.97,1471,128,-36.02
5%,8,18109.04,81.09,1414,185,-17.46
5%,15,16548.3,65.48,1588,11,-27.7
5%,unbegrenzt,16434.36,64.34,1599,0,-28.28
3%,8,14588.93,45.89,1414,185,-10.79
3%,15,13883.59,38.84,1588,11,-17.5
3%,unbegrenzt,13826.59,38.27,1599,0,-17.89
