donchian_period,stop_mode,num_trades,num_symbols,win_rate,total_return_pct,avg_return_pct,avg_holding_days,max_drawdown_pct,robustness_score
10,structural,1599,20,27.1,1216.24,0.76,5.1,-164.66,0.185
10,kein Stop,1107,20,48.4,1336.43,1.21,10.0,-249.89,0.161
10,8.0,1363,20,37.1,471.11,0.35,6.8,-232.67,0.056
10,5.0,1499,20,28.0,279.88,0.19,5.3,-330.53,0.022
20,kein Stop,740,20,47.4,199.55,0.27,10.0,-398.67,0.018
40,kein Stop,460,20,48.0,83.4,0.18,10.0,-246.11,0.016
40,structural,637,20,31.2,69.61,0.11,5.6,-316.93,0.009
20,structural,1033,20,27.7,117.8,0.11,5.3,-438.25,0.008
