variante,final_capital,total_return_pct,trades_ausgefuehrt,trades_uebersprungen,max_drawdown_pct
Aktuell (chronologisch/alphabetisch),13597.02,35.97,1415,303,-5.22
RSI-priorisiert (niedrigster RSI zuerst),13496.78,34.97,1415,303,-5.1
