variante,final_capital,total_return_pct,trades_ausgefuehrt,trades_uebersprungen,max_drawdown_pct
Aktuell (chronologisch/alphabetisch),13675.2,36.75,4232,1159,-21.05
RSI-priorisiert (niedrigster RSI zuerst),13619.72,36.2,4218,1173,-19.53
