label,rsi_threshold,stop_loss_pct,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
RSI 5.0 / Stop kein Stop,5.0,kein Stop,5391,147,0,64.5,1233.59,0.23,-166.97,-166.97,-166.97,-166.97,-560.7,-560.7,-596.22,-596.22,0.101,0.101,0.101,0.101,0.03,0.03,0.028,0.028,True
RSI 5.0 / Stop 5.0,5.0,5.0,5641,147,0,62.6,207.63,0.04,-320.09,-320.09,-320.09,-320.09,-889.15,-889.15,-901.43,-901.43,0.009,0.009,0.009,0.009,0.003,0.003,0.003,0.003,True
RSI 5.0 / Stop 8.0,5.0,8.0,5470,147,0,64.1,373.72,0.07,-346.06,-346.06,-346.06,-346.06,-1021.34,-1021.34,-1032.8,-1032.8,0.015,0.015,0.015,0.015,0.005,0.005,0.005,0.005,True
RSI 10.0 / Stop kein Stop,10.0,kein Stop,10342,147,0,64.5,2088.5,0.2,-129.53,-129.53,-129.53,-129.53,-1200.43,-1200.43,-1214.59,-1214.59,0.157,0.157,0.157,0.157,0.017,0.017,0.017,0.017,True
RSI 10.0 / Stop 5.0,10.0,5.0,10945,147,0,62.8,655.55,0.06,-210.03,-210.03,-210.03,-210.03,-1258.42,-1258.42,-1273.57,-1273.57,0.03,0.03,0.03,0.03,0.005,0.005,0.005,0.005,True
RSI 10.0 / Stop 8.0,10.0,8.0,10526,147,0,64.2,879.23,0.08,-222.01,-222.01,-222.01,-222.01,-1601.7,-1601.7,-1608.45,-1608.45,0.037,0.037,0.037,0.037,0.005,0.005,0.005,0.005,True
