label,donchian_period,stop_mode,num_trades,dd_block,dd_entry,score_block,score_entry,kapital_rendite_pct,kapital_dd_pct,kapital_calmar,ausgefuehrt,uebersprungen
Donchian 10 / Stop kein Stop,10,kein Stop,1107,-249.89,-690.2,0.161,0.058,99.89,-47.48,2.1,790,317
Donchian 10 / Stop structural,10,structural,1599,-164.66,-629.0,0.185,0.048,159.27,-35.4,4.5,1411,188
Donchian 10 / Stop 5.0,10,5.0,1499,-330.53,-730.19,0.022,0.01,18.25,-44.39,0.41,1280,219
Donchian 10 / Stop 8.0,10,8.0,1363,-232.67,-966.23,0.056,0.013,28.56,-51.0,0.56,1094,269
Donchian 20 / Stop kein Stop,20,kein Stop,740,-398.67,-660.65,0.018,0.011,8.3,-35.04,0.24,560,180
Donchian 20 / Stop structural,20,structural,1033,-438.25,-606.98,0.008,0.006,1.04,-40.86,0.03,922,111
Donchian 40 / Stop kein Stop,40,kein Stop,460,-246.11,-726.46,0.016,0.005,-7.17,-47.28,-0.15,385,75
Donchian 40 / Stop structural,40,structural,637,-316.93,-427.33,0.009,0.006,-13.69,-38.18,-0.36,590,47
