label,stop_loss_pct,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
Stop 3.0,3.0,3373,147,0,41.2,1415.47,0.42,-135.07,-135.07,-135.07,-135.07,-373.39,-373.39,-353.66,-353.66,0.181,0.181,0.181,0.181,0.065,0.065,0.069,0.069,True
Stop 5.0,5.0,3238,147,0,49.8,1545.29,0.48,-143.36,-143.36,-143.36,-143.36,-441.64,-441.64,-426.85,-426.85,0.191,0.191,0.191,0.191,0.062,0.062,0.064,0.064,True
Stop 8.0,8.0,3180,147,0,53.6,1702.58,0.54,-122.37,-122.37,-122.37,-122.37,-423.56,-423.56,-429.36,-429.36,0.249,0.249,0.249,0.249,0.072,0.072,0.071,0.071,True
Stop kein Stop,kein Stop,3173,147,0,54.5,1714.78,0.54,-141.47,-141.47,-141.47,-141.47,-448.87,-448.87,-448.87,-448.87,0.215,0.215,0.215,0.215,0.068,0.068,0.068,0.068,True
