label,donchian_period,stop_mode,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
Donchian 10 / Stop kein Stop,10,kein Stop,12069,147,0,55.2,8336.55,0.69,-163.7,-163.7,-163.7,-163.7,-2135.83,-2135.83,-2135.83,-2135.83,0.463,0.463,0.463,0.463,0.035,0.035,0.035,0.035,True
Donchian 10 / Stop structural,10,structural,17809,147,0,27.3,5003.1,0.28,-180.64,-180.64,-180.64,-180.64,-1533.9,-1533.9,-1709.13,-1709.13,0.207,0.207,0.207,0.207,0.024,0.024,0.022,0.022,True
Donchian 10 / Stop 5.0,10,5.0,13714,147,0,49.2,7688.86,0.56,-160.71,-160.71,-160.71,-160.71,-1605.47,-1605.47,-1745.33,-1745.33,0.408,0.408,0.408,0.408,0.041,0.041,0.038,0.038,True
Donchian 10 / Stop 8.0,10,8.0,12778,147,0,53.3,7627.21,0.6,-171.96,-171.96,-171.96,-171.96,-2214.29,-2214.29,-2487.25,-2487.25,0.394,0.394,0.394,0.394,0.031,0.031,0.027,0.027,True
Donchian 20 / Stop kein Stop,20,kein Stop,7821,147,0,55.5,5061.18,0.65,-154.75,-154.75,-154.75,-154.75,-2106.64,-2106.64,-2106.64,-2106.64,0.371,0.371,0.371,0.371,0.027,0.027,0.027,0.027,True
Donchian 20 / Stop structural,20,structural,11544,147,0,27.3,2654.1,0.23,-184.8,-184.8,-184.8,-184.8,-1503.28,-1503.28,-1720.59,-1720.59,0.134,0.134,0.134,0.134,0.016,0.016,0.014,0.014,True
Donchian 20 / Stop 5.0,20,5.0,8978,147,0,48.6,4490.14,0.5,-166.21,-166.21,-166.21,-166.21,-1543.19,-1543.19,-1671.32,-1671.32,0.285,0.285,0.285,0.285,0.031,0.031,0.028,0.028,True
Donchian 20 / Stop 8.0,20,8.0,8341,147,0,52.8,4089.17,0.49,-178.6,-178.6,-178.6,-178.6,-2100.46,-2100.46,-2371.84,-2371.84,0.251,0.251,0.251,0.251,0.021,0.021,0.019,0.019,True
Donchian 40 / Stop kein Stop,40,kein Stop,4870,147,0,56.9,4188.81,0.86,-151.46,-151.46,-151.46,-151.46,-1806.22,-1806.22,-1806.22,-1806.22,0.396,0.396,0.396,0.396,0.033,0.033,0.033,0.033,True
Donchian 40 / Stop structural,40,structural,7158,147,0,29.0,2610.67,0.36,-173.67,-173.67,-173.67,-173.67,-1386.72,-1386.72,-1604.64,-1604.64,0.175,0.175,0.175,0.175,0.022,0.022,0.019,0.019,True
Donchian 40 / Stop 5.0,40,5.0,5686,147,0,48.5,3632.89,0.64,-138.67,-138.67,-138.67,-138.67,-1421.0,-1421.0,-1548.58,-1548.58,0.348,0.348,0.348,0.348,0.034,0.034,0.031,0.031,True
Donchian 40 / Stop 8.0,40,8.0,5253,147,0,53.2,3230.67,0.62,-154.57,-154.57,-154.57,-154.57,-1921.72,-1921.72,-2184.78,-2184.78,0.291,0.291,0.291,0.291,0.023,0.023,0.021,0.021,True
