label,stop_loss_pct,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
Stop 3.0,3.0,4821,147,0,40.4,2473.72,0.51,-184.12,-184.12,-184.12,-184.12,-373.39,-373.39,-353.66,-353.66,0.192,0.192,0.192,0.192,0.095,0.095,0.1,0.1,True
Stop 5.0,5.0,4603,147,0,49.5,2849.1,0.62,-113.21,-113.21,-113.21,-113.21,-441.64,-441.64,-426.85,-426.85,0.372,0.372,0.372,0.372,0.095,0.095,0.099,0.099,True
Stop 8.0,8.0,4510,147,0,53.9,3165.46,0.7,-115.78,-115.78,-115.78,-115.78,-423.56,-423.56,-429.36,-429.36,0.406,0.406,0.406,0.406,0.111,0.111,0.109,0.109,True
Stop kein Stop,kein Stop,4495,147,0,55.0,3214.56,0.72,-141.04,-141.04,-141.04,-141.04,-448.87,-448.87,-448.87,-448.87,0.342,0.342,0.342,0.342,0.108,0.108,0.108,0.108,True
