label,stop_loss_pct,num_trades,dd_block,dd_entry,score_block,score_entry,kapital_rendite_pct,kapital_dd_pct,kapital_calmar,ausgefuehrt,uebersprungen
Stop 3.0,3.0,4821,-184.12,-373.39,0.192,0.095,220.23,-14.86,14.82,1868,2953
Stop 5.0,5.0,4603,-113.21,-441.64,0.372,0.095,211.32,-20.64,10.24,1594,3009
Stop 8.0,8.0,4510,-115.78,-423.56,0.406,0.111,180.66,-24.07,7.51,1451,3059
Stop kein Stop,kein Stop,4495,-141.04,-448.87,0.342,0.108,148.66,-27.38,5.43,1358,3137
