label,stop_loss_pct,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
Stop 3.0,3.0,379,20,0,18.2,400.32,1.06,-142.91,-142.91,-142.91,-142.91,-168.38,-168.38,-171.23,-171.23,0.144,0.144,0.144,0.144,0.123,0.123,0.121,0.121,True
Stop 5.0,5.0,359,20,0,26.5,629.88,1.75,-105.65,-105.65,-105.65,-105.65,-192.97,-192.97,-187.67,-187.67,0.314,0.314,0.314,0.314,0.172,0.172,0.177,0.177,True
Stop 8.0,8.0,342,20,0,33.6,533.28,1.56,-116.36,-116.36,-116.36,-116.36,-289.65,-289.65,-281.35,-281.35,0.248,0.248,0.248,0.248,0.1,0.1,0.103,0.103,True
Stop kein Stop,kein Stop,329,20,0,44.1,391.99,1.19,-187.24,-187.24,-187.24,-187.24,-469.4,-469.4,-469.4,-469.4,0.115,0.115,0.115,0.115,0.046,0.046,0.046,0.046,True
